scenario_id,homogeneity,machine_id,kind,provider,machine_type,cpu_description,vcpus_or_threads,physical_cores,sockets,memory_gb,bandwidth_gbps,location,flops,speedup,ref_flops
cluster_homo,homo,bora001,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_homo,homo,bora002,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_homo,homo,bora003,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_homo,homo,bora004,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_hetero,hetero,bora005,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_hetero,hetero,bora006,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_hetero,hetero,diablo01,cluster,PlaFRIM,diablo01-04,2x 32-core AMD Zen2,64,64,2,256,,PlaFRIM,2400,5.68,https://plafrim-users.gitlabpages.inria.fr/doc/
cluster_hetero,hetero,diablo02,cluster,PlaFRIM,diablo01-04,2x 32-core AMD Zen2,64,64,2,256,,PlaFRIM,2400,5.68,https://plafrim-users.gitlabpages.inria.fr/doc/
cloud_homo,homo,c3d-standard-16-1,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_homo,homo,c3d-standard-16-2,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_homo,homo,c3d-standard-16-3,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_homo,homo,c3d-standard-16-4,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_hetero,hetero,c3d-standard-4,cloud,Google Cloud,c3d-standard-4,4th Gen AMD EPYC Genoa,4,2,1,16,20,cloud,105.6,0.25,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_hetero,hetero,c3d-standard-8,cloud,Google Cloud,c3d-standard-8,4th Gen AMD EPYC Genoa,8,4,1,32,20,cloud,211.2,0.50,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
cloud_hetero,hetero,c3d-standard-16,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
hybrid_homo,homo,bora009,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
hybrid_homo,homo,bora010,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
hybrid_homo,homo,c3d-standard-16-5,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
hybrid_homo,homo,c3d-standard-16-6,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
hybrid_hetero,hetero,bora011,cluster,PlaFRIM,bora001-044,2x 18-core Intel CascadeLake,36,36,2,192,,PlaFRIM,2995,7.09,https://plafrim-users.gitlabpages.inria.fr/doc/
hybrid_hetero,hetero,diablo03,cluster,PlaFRIM,diablo01-04,2x 32-core AMD Zen2,64,64,2,256,,PlaFRIM,2400,5.68,https://plafrim-users.gitlabpages.inria.fr/doc/
hybrid_hetero,hetero,c3d-standard-4-1,cloud,Google Cloud,c3d-standard-4,4th Gen AMD EPYC Genoa,4,2,1,16,20,cloud,105.6,0.25,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
hybrid_hetero,hetero,c3d-standard-16-7,cloud,Google Cloud,c3d-standard-16,4th Gen AMD EPYC Genoa,16,8,1,64,20,cloud,422.4,1.00,https://docs.cloud.google.com/compute/docs/general-purpose-machines#c3d_machine_series|https://cloud.google.com/compute/docs/cpu-platforms|https://www.amd.com/en/blogs/2025/leadership-hpc-performance-with-5th-generation-amd.html
