workflow,seed,environment,latency_ms,bandwidth_mbps,data_scale,sla_label,budget_margin,deadline_margin,deadline_limit,cost_limit,heft_makespan_s,prism_time_makespan_s,prism_cost_makespan_s,heft_cost_usd,prism_time_cost_usd,prism_cost_cost_usd,time_gain_pct,cost_saving_pct,heft_feasible,prism_time_feasible,prism_cost_feasible,result_directory
soykb-676,1,network_cloud_multiregion,100,500.0,1.0,plus-20,1.2,1.2,6177.2676,3.952708,5147.723,5147.036,6156.697,3.293923,3.309965,2.984315,0.013345706441467386,9.399369687755296,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_edge_cloud,100,500.0,1.0,plus-20,1.2,1.2,4641.1092,5.840275,3867.591,3867.591,3880.904,4.866896,4.866896,4.851124,0.0,0.3240669206820781,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_fog_hpc_cloud,100,500.0,1.0,plus-20,1.2,1.2,4609.0932,5.702914,3840.911,3840.911,3916.718,4.752428,4.752428,4.666076,0.0,1.8170080640884987,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_hpc_cloud,100,500.0,1.0,plus-20,1.2,1.2,4609.0932,5.702906,3840.911,3840.911,3916.116,4.752422,4.752422,4.666076,0.0,1.8168841066723411,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_hpc_local,100,500.0,1.0,plus-20,1.2,1.2,9126.5904,0.0,7605.492,7605.492,7605.492,0.0,0.0,0.0,0.0,0.0,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_hpc_multisite,100,500.0,1.0,plus-20,1.2,1.2,9126.5904,0.0,7605.492,7605.492,7605.492,0.0,0.0,0.0,0.0,0.0,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
soykb-676,1,network_wfcommons_overlay,100,500.0,1.0,plus-20,1.2,1.2,31015.7784,21.14308,25846.482,25846.482,26485.008,17.619233,17.619233,16.95041,0.0,3.7959824925409618,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/soykb-676
srasearch-104,1,network_cloud_multiregion,100,500.0,1.0,plus-20,1.2,1.2,484.3056,0.645154,403.588,403.588,403.588,0.537628,0.537628,0.328553,0.0,38.88841354988952,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_edge_cloud,100,500.0,1.0,plus-20,1.2,1.2,366.8292,1.026438,305.691,305.691,329.545,0.855365,0.855365,0.38207,0.0,55.33251886621501,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_fog_hpc_cloud,100,500.0,1.0,plus-20,1.2,1.2,366.8292,0.521449,305.691,305.691,350.019,0.434541,0.434541,0.382408,0.0,11.997256875645792,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_hpc_cloud,100,500.0,1.0,plus-20,1.2,1.2,366.8292,0.521449,305.691,305.691,350.019,0.434541,0.434541,0.382408,0.0,11.997256875645792,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_hpc_local,100,500.0,1.0,plus-20,1.2,1.2,704.8584,0.0,587.382,587.382,587.382,0.0,0.0,0.0,0.0,0.0,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_hpc_multisite,100,500.0,1.0,plus-20,1.2,1.2,704.8584,0.0,587.382,587.382,587.382,0.0,0.0,0.0,0.0,0.0,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
srasearch-104,1,network_wfcommons_overlay,100,500.0,1.0,plus-20,1.2,1.2,2400.0744,3.798895,2000.062,2000.062,2000.062,3.165746,3.165746,1.280042,0.0,59.56586536001309,true,true,true,experiments/results/latency-datax-envs-workflows-complete-v1/latency-100ms-bandwidth-500mbps/data-1x/sla-plus-20/srasearch-104
