scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,95.578,95.578,0,0.0,0.228906,0.228906,0,0.0,1.0,0.6759525,0.03700901602650356,4.0,0.113,5292.0,0.00012527716186252772,0.0,,
network_cloud_multiregion,prism_cc_cost,1,95.578,95.578,0,0.0,0.228906,0.228906,0,0.0,1.0,0.6759525,0.03700901602650356,4.0,0.113,5292.0,0.00012527716186252772,0.0,0.0,0.0
network_cloud_multiregion,prism_cc_time,1,95.147,95.147,0,0.0,0.228944,0.228944,0,0.0,1.0,0.6557125,0.0814162101073859,4.0,0.11,5407.0,0.00012195121951219512,0.0,0.45094059302349637,-0.01660070072431926
network_edge_cloud,heft_classic,1,86.185,86.185,0,0.0,0.275562,0.275562,0,0.0,1.0,0.31254125,0.312560852757807,2.0,0.115,10853.0,0.00012749445676274945,0.0,,
network_edge_cloud,prism_cc_cost,1,86.185,86.185,0,0.0,0.275562,0.275562,0,0.0,1.0,0.31254125,0.312560852757807,2.0,0.115,10853.0,0.00012749445676274945,0.0,0.0,0.0
network_edge_cloud,prism_cc_time,1,79.614,79.614,0,0.0,0.230081,0.230081,0,0.0,1.0,0.2117815,0.3099567164206158,2.0,0.112,12696.0,0.00012416851441241685,0.0,7.624296571329115,16.50481561318323
network_fog_hpc_cloud,heft_classic,1,60.596,60.596,0,0.0,0.156985,0.156985,0,0.0,1.0,0.12845171428571428,0.21142705977490495,4.0,0.121,8073.0,0.00013414634146341462,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,60.596,60.596,0,0.0,0.156985,0.156985,0,0.0,1.0,0.12845171428571428,0.21142705977490495,4.0,0.121,8073.0,0.00013414634146341462,0.0,0.0,0.0
network_fog_hpc_cloud,prism_cc_time,1,60.596,60.596,0,0.0,0.156985,0.156985,0,0.0,1.0,0.12845171428571428,0.21142705977490495,4.0,0.121,8073.0,0.00013414634146341462,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,60.102,60.102,0,0.0,0.160326,0.160326,0,0.0,1.0,0.45306850000000004,0.10999685364932035,4.0,0.122,8143.0,0.0001352549889135255,0.0,,
network_hpc_cloud,prism_cc_cost,1,60.102,60.102,0,0.0,0.160326,0.160326,0,0.0,1.0,0.45306850000000004,0.10999685364932035,4.0,0.122,8143.0,0.0001352549889135255,0.0,0.0,0.0
network_hpc_cloud,prism_cc_time,1,59.205,59.205,0,0.0,0.17895,0.17895,0,0.0,1.0,0.42538575,0.17245655957715122,4.0,0.12,8074.0,0.00013303769401330377,0.0,1.4924628132175277,-11.616331724112122
network_hpc_local,heft_classic,1,70.432,70.432,0,0.0,0.0,0.0,0,0.0,1.0,0.57013475,0.0839915679648112,4.0,0.12,7443.0,0.00013303769401330377,0.0,,
network_hpc_local,prism_cc_cost,1,70.432,70.432,0,0.0,0.0,0.0,0,0.0,1.0,0.57013475,0.0839915679648112,4.0,0.12,7443.0,0.00013303769401330377,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,68.317,68.317,0,0.0,0.0,0.0,0,0.0,1.0,0.58778525,0.11749375548167443,4.0,0.12,7427.0,0.00013303769401330377,0.0,3.002896410722412,0.0
network_hpc_multisite,heft_classic,1,70.432,70.432,0,0.0,0.0,0.0,0,0.0,1.0,0.57013475,0.0839915679648112,4.0,0.12,7443.0,0.00013303769401330377,0.0,,
network_hpc_multisite,prism_cc_cost,1,70.432,70.432,0,0.0,0.0,0.0,0,0.0,1.0,0.57013475,0.0839915679648112,4.0,0.12,7443.0,0.00013303769401330377,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,68.317,68.317,0,0.0,0.0,0.0,0,0.0,1.0,0.58778525,0.1261348182548637,4.0,0.12,8133.0,0.00013303769401330377,0.0,3.002896410722412,0.0
network_wfcommons_overlay,heft_classic,1,299.742,299.742,0,0.0,1.047699,1.047699,0,0.0,1.0,0.5578766,0.1749754657163112,5.0,0.068,7470.0,7.538802660753881e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,299.742,299.742,0,0.0,1.047699,1.047699,0,0.0,1.0,0.5578766,0.1749754657163112,5.0,0.068,7470.0,7.538802660753881e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,299.742,299.742,0,0.0,1.047699,1.047699,0,0.0,1.0,0.5578766,0.1749754657163112,5.0,0.068,7470.0,7.538802660753881e-05,0.0,0.0,0.0
