scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,19355.756000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,19355.756000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,35.289000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,19180.653000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,19180.653000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,9173.043600,7644.203000,7644.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,32.780000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,4.006241,6214.531200,5176.120000,5176.120000,0.000000,0.000000,3.337789,3.337789,0.000000,0.000000,0.082000,19619.782000,0.051286,0.022315
network_cloud_multiregion,prism_cc_cost,1,1.000000,4.006241,6214.531200,6208.679000,6208.679000,0.000000,0.000000,2.926175,2.926175,0.000000,0.000000,0.079000,19619.782000,-19.886996,12.351499
network_cloud_multiregion,heft_colocation,1,1.000000,4.006241,6214.531200,5178.776000,5178.776000,0.000000,0.000000,3.338534,3.338534,0.000000,0.000000,0.081000,82.259000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,5.757524,4650.396000,3875.330000,3875.330000,0.000000,0.000000,4.797937,4.797937,0.000000,0.000000,0.081000,19813.105000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,5.757524,4650.396000,3945.361000,3945.361000,0.000000,0.000000,4.681974,4.681974,0.000000,0.000000,0.083000,19813.105000,-1.807098,2.416935
network_hpc_cloud,heft_colocation,1,1.000000,5.757524,4650.396000,3875.330000,3875.330000,0.000000,0.000000,4.797937,4.797937,0.000000,0.000000,0.081000,51.063000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,5.869308,4663.393200,3885.868000,3885.868000,0.000000,0.000000,4.890630,4.890630,0.000000,0.000000,0.087000,17811.213000,0.007540,0.009405
network_edge_cloud,prism_cc_cost,1,1.000000,5.869308,4663.393200,3888.682000,3888.682000,0.000000,0.000000,4.860857,4.860857,0.000000,0.000000,0.089000,17811.213000,-0.064871,0.618124
network_edge_cloud,heft_colocation,1,1.000000,5.869308,4663.393200,3886.161000,3886.161000,0.000000,0.000000,4.891090,4.891090,0.000000,0.000000,0.087000,85.866000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,5.757653,4650.486000,3874.483000,3874.483000,0.000000,0.000000,4.791125,4.791125,0.000000,0.000000,0.083000,46111.049000,0.023791,0.144205
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,5.757653,4650.486000,3942.379000,3942.379000,0.000000,0.000000,4.681974,4.681974,0.000000,0.000000,0.082000,46111.049000,-1.728181,2.419111
network_fog_hpc_cloud,heft_colocation,1,1.000000,5.757653,4650.486000,3875.405000,3875.405000,0.000000,0.000000,4.798044,4.798044,0.000000,0.000000,0.079000,71.062000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,21.032861,31051.045200,25875.871000,25875.871000,0.000000,0.000000,17.527384,17.527384,0.000000,0.000000,0.083000,17129.346000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,21.032861,31051.045200,26483.789000,26483.789000,0.000000,0.000000,16.949630,16.949630,0.000000,0.000000,0.081000,17129.346000,-2.349362,3.296293
network_wfcommons_overlay,heft_colocation,1,1.000000,21.032861,31051.045200,25875.871000,25875.871000,0.000000,0.000000,17.527384,17.527384,0.000000,0.000000,0.083000,83.214000,0.000000,0.000000
