scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,True,1,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,106.676,106.676,0.158552,0.158552,,0.0,0.13376,88.468,118.53468899521532,120.58145318081114,20.58145318081115,18.53468899521531,False,True,2,118.53468899521532,4.4185468191888475,0.03727640285424972
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,148.546,148.546,0.0,0.0,,0.0,0.0,118.8368,0.0,124.99999999999999,25.0,0.0,False,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,109.711,109.711,0.165105,0.165105,,0.0,0.136025,90.1848,121.3784230839919,121.65132039989001,21.651320399890018,21.378423083991915,False,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,172.016,172.016,0.245197,0.245197,,0.0,0.196158,137.6128,124.99974510343702,125.0,25.0,24.999745103437032,False,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,172.016,172.016,0.245197,0.245197,,0.0,0.196158,137.6128,124.99974510343702,125.0,25.0,24.999745103437032,False,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,172.016,172.016,0.245197,0.245197,,0.0,0.196158,137.6128,124.99974510343702,125.0,25.0,24.999745103437032,False,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,112.731,112.731,0.170031,0.170031,,0.0,0.136025,90.1848,124.99981621025546,124.99999999999999,25.0,24.999816210255442,False,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,112.731,112.731,0.170031,0.170031,,0.0,0.136025,90.1848,124.99981621025546,124.99999999999999,25.0,24.999816210255442,False,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,505.866,505.866,1.217872,1.217872,,0.0,0.974298,404.6928,124.99994868099905,125.0,25.0,24.99994868099904,False,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,505.866,505.866,1.217872,1.217872,,0.0,0.974298,404.6928,124.99994868099905,125.0,25.0,24.99994868099904,False,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,505.866,505.866,1.217872,1.217872,,0.0,0.974298,404.6928,124.99994868099905,125.0,25.0,24.99994868099904,False,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,110.585,110.585,0.1672,0.1672,,0.0,0.13376,88.468,125.0,125.0,24.99999999999998,25.0,False,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,110.585,110.585,0.1672,0.1672,,0.0,0.13376,88.468,125.0,125.0,24.99999999999998,25.0,False,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,138.689,138.689,0.216429,0.216429,,0.0,0.173143,110.9512,125.00014438931983,125.0,25.0,25.000144389319836,False,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,138.689,138.689,0.216429,0.216429,,0.0,0.173143,110.9512,125.00014438931983,125.0,25.0,25.000144389319836,False,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,138.689,138.689,0.216429,0.216429,,0.0,0.173143,110.9512,125.00014438931983,125.0,25.0,25.000144389319836,False,False,,,,
