scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,785.404,785.404,0,0.0,23.906998,23.906998,0,0.0,1.0,0.265612,0.013869966780782129,4.0,0.874,10566.0,0.00013554590570719603,0.0,,
network_cloud_multiregion,prism_cc_cost,1,527.408,527.408,0,0.0,0.716181,0.716181,0,0.0,1.0,0.2624385,0.3986330465412395,2.0,1.298,33074.0,0.000201302729528536,0.0,32.848826845801646,97.00430392807998
network_cloud_multiregion,prism_cc_time,1,409.048,409.048,0,0.0,15.239346,15.239346,0,0.0,1.0,0.460644,0.12321258303639282,4.0,0.999,21655.0,0.0001549317617866005,0.0,47.91877810655408,36.25571056642077
network_edge_cloud,heft_classic,1,410.248,410.248,0,0.0,11.527034,11.527034,0,0.0,1.0,0.24874625,0.1657539866675535,4.0,1.346,25566.0,0.0002087468982630273,0.0,,
network_edge_cloud,prism_cc_cost,1,251.138,251.138,0,0.0,1.527034,1.527034,0,0.0,1.0,0.21178175,0.3164218704296331,4.0,1.507,83272.0,0.00023371588089330023,0.0,38.78385756908016,86.75258527041734
network_edge_cloud,prism_cc_time,1,251.138,251.138,0,0.0,1.527034,1.527034,0,0.0,1.0,0.21178175,0.3164218704296331,4.0,1.507,83272.0,0.00023371588089330023,0.0,38.78385756908016,86.75258527041734
network_fog_hpc_cloud,heft_classic,1,653.706,653.706,0,0.0,14.117445,14.117445,0,0.0,1.0,0.047428928571428566,0.059015502525624916,14.0,1.144,35913.0,0.00017741935483870966,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,780.921,780.921,0,0.0,0.0,0.0,0,0.0,1.0,0.07907264285714286,0.09697088355761166,12.0,0.975,20172.0,0.00015120967741935485,0.0,-19.460583197951376,100.0
network_fog_hpc_cloud,prism_cc_time,1,310.427,310.427,0,0.0,15.351849,15.351849,0,0.0,1.0,0.10794757142857143,0.11965847763394565,14.0,1.066,46239.0,0.0001653225806451613,0.0,52.51275038014031,-8.743820145925834
network_hpc_cloud,heft_classic,1,327.112,327.112,0,0.0,13.901932,13.901932,0,0.0,1.0,0.2821995,0.03969459338814294,4.0,1.166,24728.0,0.00018083126550868484,0.0,,
network_hpc_cloud,prism_cc_cost,1,379.766,379.766,0,0.0,11.415294,11.415294,0,0.0,1.0,0.21022674999999996,0.12205317712860857,3.0,0.793,23220.0,0.00012298387096774195,0.0,-16.096627454816698,17.886995850648677
network_hpc_cloud,prism_cc_time,1,326.337,326.337,0,0.0,14.889095,14.889095,0,0.0,1.0,0.27429425,0.045777937308134585,4.0,1.098,32487.0,0.00017028535980148884,0.0,0.236921910538297,-7.100905111606062
network_hpc_local,heft_classic,1,738.2,738.2,0,0.0,0.0,0.0,0,0.0,1.0,0.17402025000000002,0.08811985821985588,4.0,0.599,24848.0,9.28970223325062e-05,0.0,,
network_hpc_local,prism_cc_cost,1,400.269,400.269,0,0.0,0.0,0.0,0,0.0,1.0,0.3209385,0.16048746281485668,4.0,0.599,25937.0,9.28970223325062e-05,0.0,45.777702519642375,0.0
network_hpc_local,prism_cc_time,1,400.269,400.269,0,0.0,0.0,0.0,0,0.0,1.0,0.3209385,0.16048746281485668,4.0,0.599,25937.0,9.28970223325062e-05,0.0,45.777702519642375,0.0
network_hpc_multisite,heft_classic,1,738.2,738.2,0,0.0,0.0,0.0,0,0.0,1.0,0.17402025000000002,0.08811985821985588,4.0,0.599,24848.0,9.28970223325062e-05,0.0,,
network_hpc_multisite,prism_cc_cost,1,400.269,400.269,0,0.0,0.0,0.0,0,0.0,1.0,0.3209385,0.16048459569457127,4.0,0.599,25933.0,9.28970223325062e-05,0.0,45.777702519642375,0.0
network_hpc_multisite,prism_cc_time,1,400.269,400.269,0,0.0,0.0,0.0,0,0.0,1.0,0.3209385,0.16048459569457127,4.0,0.599,25933.0,9.28970223325062e-05,0.0,45.777702519642375,0.0
network_wfcommons_overlay,heft_classic,1,1495.593,1495.593,0,0.0,76.477805,76.477805,0,0.0,1.0,0.3529598,0.1913573602330467,5.0,0.438,35443.0,6.792803970223325e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,1775.088,1775.088,0,0.0,3.344915,3.344915,0,0.0,1.0,0.1987656,0.3814363253145143,2.0,0.744,71439.0,0.00011538461538461538,0.0,-18.6879050650812,95.62629314478887
network_wfcommons_overlay,prism_cc_time,1,1179.527,1179.527,0,0.0,36.262787,36.262787,0,0.0,1.0,0.45323399999999997,0.2539860161213605,4.0,0.509,34437.0,7.893920595533499e-05,0.0,21.133155878638107,52.583907187189794
