scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,56.873,56.873,0.0,0.0,,0.0,0.0,54.7751,0.0,103.83002495659524,3.830024956595235,0.0,False,True,1,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,72.049,72.049,0.83603,0.83603,,100.0,1.493006,72.0518,55.99642600230676,99.99611390693919,0.0,0.0,True,True,2,55.99642600230676,3.8339110496560522,0.068467066978491
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,72.029,72.029,0.847609,0.847609,,100.0,1.493006,72.0518,56.771975464264706,99.96835609936184,0.0,0.0,True,True,3,0.7755494619579437,0.027757807577344806,0.035791150582798095
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,57.658,57.658,0.0,0.0,,0.0,0.0,54.7751,0.0,105.26315789473684,5.263157894736836,0.0,False,False,,,,
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,57.658,57.658,0.0,0.0,,0.0,0.0,54.7751,0.0,105.26315789473684,5.263157894736836,0.0,False,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,57.658,57.658,0.0,0.0,,0.0,0.0,54.7751,0.0,105.26315789473684,5.263157894736836,0.0,False,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,57.658,57.658,0.0,0.0,,0.0,0.0,54.7751,0.0,105.26315789473684,5.263157894736836,0.0,False,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,56.873,56.873,0.0,0.0,,0.0,0.0,54.7751,0.0,103.83002495659524,3.830024956595235,0.0,False,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,47.564,47.564,0.510668,0.510668,,0.0,0.485135,45.1858,105.26307110391953,105.26315789473684,5.263157894736836,5.2630711039195255,False,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,47.564,47.564,0.510668,0.510668,,0.0,0.485135,45.1858,105.26307110391953,105.26315789473684,5.263157894736836,5.2630711039195255,False,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,47.564,47.564,0.510668,0.510668,,0.0,0.485135,45.1858,105.26307110391953,105.26315789473684,5.263157894736836,5.2630711039195255,False,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,75.844,75.844,1.571585,1.571585,,0.0,1.493006,72.0518,105.26314026869282,105.26315789473684,5.263157894736836,5.263140268692812,False,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,51.596,51.596,0.483441,0.483441,,0.0,0.459269,49.0162,105.26314643487804,105.26315789473684,5.263157894736836,5.263146434878041,False,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,51.596,51.596,0.483441,0.483441,,0.0,0.459269,49.0162,105.26314643487804,105.26315789473684,5.263157894736836,5.263146434878041,False,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,51.596,51.596,0.483441,0.483441,,0.0,0.459269,49.0162,105.26314643487804,105.26315789473684,5.263157894736836,5.263146434878041,False,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,86.379,86.379,0.865161,0.865161,,0.0,0.821903,82.06005,105.26315149111268,105.26315789473684,5.263157894736836,5.263151491112694,False,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,86.379,86.379,0.865161,0.865161,,0.0,0.821903,82.06005,105.26315149111268,105.26315789473684,5.263157894736836,5.263151491112694,False,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,86.379,86.379,0.865161,0.865161,,0.0,0.821903,82.06005,105.26315149111268,105.26315789473684,5.263157894736836,5.263151491112694,False,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,280.256,280.256,2.974794,2.974794,,0.0,2.826054,266.2432,105.26316906895622,105.26315789473684,5.263157894736836,5.2631690689562305,False,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,280.256,280.256,2.974794,2.974794,,0.0,2.826054,266.2432,105.26316906895622,105.26315789473684,5.263157894736836,5.2631690689562305,False,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,280.256,280.256,2.974794,2.974794,,0.0,2.826054,266.2432,105.26316906895622,105.26315789473684,5.263157894736836,5.2631690689562305,False,False,,,,
