scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,199.215,199.215,0.0,0.0,,100.0,0.978559,354.75375,0.0,56.15585458927495,0.0,0.0,True,True,1,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,99.516,99.516,0.124375,0.124375,,100.0,1.565335,333.44905,7.945583533237294,29.844439502826596,0.0,0.0,True,True,2,7.945583533237294,26.311415086448356,3.3114515726107046
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,96.324,96.324,1.064454,1.064454,,100.0,1.565335,333.44905,68.00167376312419,28.887171818303276,0.0,0.0,True,True,3,60.05609022988689,0.9572676845233197,0.015939560515162137
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,199.215,199.215,0.0,0.0,,100.0,0.978559,354.75375,0.0,56.15585458927495,0.0,0.0,True,False,,,,
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,460.261,460.261,0.0,0.0,,0.0,0.0,437.24795,0.0,105.26315789473685,5.263157894736836,0.0,False,False,,,,
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,460.261,460.261,0.0,0.0,,0.0,0.0,437.24795,0.0,105.26315789473685,5.263157894736836,0.0,False,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,438.081,438.081,0.0,0.0,,0.0,0.0,437.24795,0.0,100.19052119055104,0.19052119055102956,0.0,False,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,460.261,460.261,0.0,0.0,,0.0,0.0,437.24795,0.0,105.26315789473685,5.263157894736836,0.0,False,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,460.261,460.261,0.0,0.0,,0.0,0.0,437.24795,0.0,105.26315789473685,5.263157894736836,0.0,False,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,438.081,438.081,0.0,0.0,,0.0,0.0,437.24795,0.0,100.19052119055104,0.19052119055102956,0.0,False,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,708.3,708.3,0.508233,0.508233,,0.0,26.901068,696.3044,1.889266998618791,101.72275229052121,1.7227522905212123,0.0,False,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,376.859,376.859,0.354641,0.354641,,100.0,5.466671,408.70235,6.48733022345775,92.20866970791825,0.0,0.0,True,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,363.291,363.291,0.584746,0.584746,,100.0,5.466671,408.70235,10.6965646917475,88.88889432615201,0.0,0.0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,373.425,373.425,1.030062,1.030062,,0.0,0.978559,354.75375,105.26314713778117,105.26315789473684,5.263157894736836,5.263147137781177,False,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,350.999,350.999,1.647721,1.647721,,0.0,1.565335,333.44905,105.26315453241638,105.26315789473685,5.2631578947368585,5.263154532416392,False,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,732.952,732.952,28.316914,28.316914,,0.0,26.901068,696.3044,105.26315906862881,105.26315789473684,5.263157894736836,5.263159068628798,False,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,732.952,732.952,28.316914,28.316914,,0.0,26.901068,696.3044,105.26315906862881,105.26315789473684,5.263157894736836,5.263159068628798,False,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,430.213,430.213,5.754391,5.754391,,0.0,5.466671,408.70235,105.26316655968506,105.26315789473685,5.263157894736836,5.26316655968504,False,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,379.25,379.25,1.118211,1.118211,,0.0,1.0623,360.2875,105.26320248517368,105.26315789473684,5.263157894736836,5.26320248517369,False,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,379.25,379.25,1.118211,1.118211,,0.0,1.0623,360.2875,105.26320248517368,105.26315789473684,5.263157894736836,5.26320248517369,False,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,379.25,379.25,1.118211,1.118211,,0.0,1.0623,360.2875,105.26320248517368,105.26315789473684,5.263157894736836,5.26320248517369,False,False,,,,
