scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,147.136,147.136,0,0.0,0.608964,0.608964,0,0.0,1.0,0.7912392500000001,0.004144941337039668,4.0,0.728,39068.0,0.00011126394620204798,0.0,,
network_cloud_multiregion,prism_cc_cost,1,147.522,147.522,0,0.0,0.372761,0.372761,0,0.0,1.0,0.7564077499999999,0.09317545070021128,4.0,0.791,36354.0,0.00012089255693107138,0.0,-0.26234232274901836,38.78767874619845
network_cloud_multiregion,prism_cc_time,1,144.128,144.128,0,0.0,0.566783,0.566783,0,0.0,1.0,0.8083210000000001,0.0002005355330110138,4.0,0.705,39346.0,0.00010774873911049976,0.0,2.0443671161374577,6.926682037033373
network_edge_cloud,heft_classic,1,120.155,120.155,0,0.0,0.453227,0.453227,0,0.0,1.0,0.7534470000000001,0.033005042826816613,4.0,0.814,83561.0,0.00012440776402261957,0.0,,
network_edge_cloud,prism_cc_cost,1,129.298,129.298,0,0.0,0.164392,0.164392,0,0.0,1.0,0.55455475,0.32416984760953244,3.0,0.813,97153.0,0.0001242549289316827,0.0,-7.609337938496109,63.7285510351325
network_edge_cloud,prism_cc_time,1,120.155,120.155,0,0.0,0.453227,0.453227,0,0.0,1.0,0.7534470000000001,0.033005042826816613,4.0,0.814,83561.0,0.00012440776402261957,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,85.483,85.483,0,0.0,0.449011,0.449011,0,0.0,1.0,0.22767521428571427,0.2677821359533526,14.0,0.829,70855.0,0.0001267002903866728,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,96.772,96.772,0,0.0,0.258177,0.258177,0,0.0,1.0,0.2470612142857143,0.21714351417378278,14.0,0.825,63967.0,0.00012608895002292527,0.0,-13.206134553069031,42.500963228072365
network_fog_hpc_cloud,prism_cc_time,1,85.483,85.483,0,0.0,0.449011,0.449011,0,0.0,1.0,0.22767521428571427,0.2677821359533526,14.0,0.829,70855.0,0.0001267002903866728,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,85.355,85.355,0,0.0,0.483662,0.483662,0,0.0,1.0,0.6485447499999999,0.06899543480323536,4.0,0.835,69423.0,0.00012761730093229404,0.0,,
network_hpc_cloud,prism_cc_cost,1,99.314,99.314,0,0.0,0.244612,0.244612,0,0.0,1.0,0.56707875,0.11742104372167497,4.0,0.816,67052.0,0.00012471343420449333,0.0,-16.354050729306998,49.4250116817116
network_hpc_cloud,prism_cc_time,1,82.35,82.35,0,0.0,0.469708,0.469708,0,0.0,1.0,0.67258275,0.07203608754428227,4.0,0.802,70316.0,0.00012257374293137704,0.0,3.520590475074699,2.8850726333679235
network_hpc_local,heft_classic,1,123.54,123.54,0,0.0,0.0,0.0,0,0.0,1.0,0.56969325,0.008749285010073691,4.0,0.92,73292.0,0.0001406082836619288,0.0,,
network_hpc_local,prism_cc_cost,1,123.51,123.51,0,0.0,0.0,0.0,0,0.0,1.0,0.5698315,0.004175188289167331,4.0,0.92,73439.0,0.0001406082836619288,0.0,0.02428363283147251,0.0
network_hpc_local,prism_cc_time,1,123.51,123.51,0,0.0,0.0,0.0,0,0.0,1.0,0.5698315,0.004175188289167331,4.0,0.92,73439.0,0.0001406082836619288,0.0,0.02428363283147251,0.0
network_hpc_multisite,heft_classic,1,123.54,123.54,0,0.0,0.0,0.0,0,0.0,1.0,0.56969325,0.008749285010073691,4.0,0.92,73292.0,0.0001406082836619288,0.0,,
network_hpc_multisite,prism_cc_cost,1,123.522,123.522,0,0.0,0.0,0.0,0,0.0,1.0,0.5697762500000001,0.053897402708177874,4.0,0.92,68485.0,0.0001406082836619288,0.0,0.014570179698883504,0.0
network_hpc_multisite,prism_cc_time,1,123.522,123.522,0,0.0,0.0,0.0,0,0.0,1.0,0.5697762500000001,0.053897402708177874,4.0,0.92,68485.0,0.0001406082836619288,0.0,0.014570179698883504,0.0
network_wfcommons_overlay,heft_classic,1,482.832,482.832,0,0.0,2.364062,2.364062,0,0.0,1.0,0.6647858,0.01144037162683102,5.0,0.516,70832.0,7.886290692342962e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,496.174,496.174,0,0.0,1.766953,1.766953,0,0.0,1.0,0.6170462000000001,0.09633774682314303,5.0,0.579,66453.0,8.8491517652453e-05,0.0,-2.7632799814428175,25.257755507258274
network_wfcommons_overlay,prism_cc_time,1,480.036,480.036,0,0.0,2.260923,2.260923,0,0.0,1.0,0.6686082,0.012167292293686386,5.0,0.54,72175.0,8.253094910591472e-05,0.0,0.5790834078934272,4.362787439584921
