scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,123.51,123.51,0.0,0.0,,100.0,0.0,148.248,0.0,83.31309697264045,0,0,True,True,1,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,144.128,144.128,0.566783,0.566783,,100.0,0.730757,176.5632,77.56107707486895,81.62969406988546,0,0,True,True,2,77.56107707486895,1.6834029027549917,0.021704222868514568
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,82.35,82.35,0.469708,0.469708,,100.0,0.580394,102.426,80.92916191414798,80.39950793743776,0,0,True,True,3,3.3680848392790352,1.2301861324476988,0.3652479646893425
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,123.54,123.54,0.0,0.0,,100.0,0.0,148.248,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,123.51,123.51,0.0,0.0,,100.0,0.0,148.248,0.0,83.31309697264045,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,123.54,123.54,0.0,0.0,,100.0,0.0,148.248,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,123.522,123.522,0.0,0.0,,100.0,0.0,148.248,0.0,83.32119151691761,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,123.522,123.522,0.0,0.0,,100.0,0.0,148.248,0.0,83.32119151691761,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,129.298,129.298,0.164392,0.164392,,100.0,0.543872,144.186,30.226229701106142,89.67444828208008,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,99.314,99.314,0.244612,0.244612,,100.0,0.580394,102.426,42.14585264492741,96.96170894108917,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,96.772,96.772,0.258177,0.258177,,100.0,0.538813,102.5796,47.91588176231828,94.33844546089087,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,147.522,147.522,0.372761,0.372761,,100.0,0.730757,176.5632,51.010253750562775,83.55195193562417,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,496.174,496.174,1.766953,1.766953,,100.0,2.836874,579.3984,62.285212526181994,85.63606665120234,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,480.036,480.036,2.260923,2.260923,,100.0,2.836874,579.3984,79.69768837107323,82.85076382675547,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,147.136,147.136,0.608964,0.608964,,100.0,0.730757,176.5632,83.33331052593405,83.33333333333334,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,482.832,482.832,2.364062,2.364062,,100.0,2.836874,579.3984,83.33334508335584,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,85.483,85.483,0.449011,0.449011,,100.0,0.538813,102.5796,83.33336426552441,83.33333333333334,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,85.483,85.483,0.449011,0.449011,,100.0,0.538813,102.5796,83.33336426552441,83.33333333333334,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,85.355,85.355,0.483662,0.483662,,100.0,0.580394,102.426,83.33339076558339,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,120.155,120.155,0.453227,0.453227,,100.0,0.543872,144.186,83.33339462226405,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,120.155,120.155,0.453227,0.453227,,100.0,0.543872,144.186,83.33339462226405,83.33333333333333,0,0,True,False,,,,
