scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,123.51,123.54,0.02428363283147251,PRISM-CC
network_hpc_local,prism_cc_cost,makespan,123.51,123.54,0.02428363283147251,PRISM-CC
network_hpc_multisite,prism_cc_time,makespan,123.522,123.54,0.014570179698883504,PRISM-CC
network_hpc_multisite,prism_cc_cost,makespan,123.522,123.54,0.014570179698883504,PRISM-CC
network_cloud_multiregion,prism_cc_time,makespan,144.128,147.136,2.0443671161374577,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,147.522,147.136,-0.26234232274901836,HEFT
network_hpc_cloud,prism_cc_time,makespan,82.35,85.355,3.520590475074699,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,99.314,85.355,-16.354050729306998,HEFT
network_edge_cloud,prism_cc_time,makespan,120.155,120.155,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,129.298,120.155,-7.609337938496109,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,85.483,85.483,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,96.772,85.483,-13.206134553069031,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,480.036,482.832,0.5790834078934272,PRISM-CC
network_wfcommons_overlay,prism_cc_cost,makespan,496.174,482.832,-2.7632799814428175,HEFT
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.566783,0.608964,6.926682037033373,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,0.372761,0.608964,38.78767874619845,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.469708,0.483662,2.8850726333679235,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.244612,0.483662,49.4250116817116,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.453227,0.453227,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.164392,0.453227,63.7285510351325,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.449011,0.449011,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.258177,0.449011,42.500963228072365,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,2.260923,2.364062,4.362787439584921,PRISM-CC
network_wfcommons_overlay,prism_cc_cost,budget_used,1.766953,2.364062,25.257755507258274,PRISM-CC
