scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,7610.372,7610.372,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,7610.372,7610.372,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,7610.372,7610.372,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,7610.372,7610.372,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,5151.726,5151.726,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,6153.154,5151.726,-19.438689091772364,HEFT
network_hpc_cloud,prism_cc_time,makespan,3845.433,3845.759,0.008476870235498944,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,3920.188,3845.759,-1.9353526833064705,HEFT
network_edge_cloud,prism_cc_time,makespan,3870.122,3870.418,0.0076477527750304095,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,3887.473,3870.418,-0.4406500796554748,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,3845.227,3845.227,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,3920.326,3845.227,-1.9530446446984837,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,25850.981,25850.981,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,26485.458,25850.981,-2.4543633373139646,HEFT
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,3.629343,3.629343,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,3.221626,3.629343,11.233906522475277,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,5.11121,5.111937,0.014221615015998166,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,4.840954,5.111937,5.300984734358036,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,4.999529,4.991809,-0.15465335312308523,HEFT
network_edge_cloud,prism_cc_cost,budget_used,4.859345,4.991809,2.6536271720332185,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,5.116163,5.116163,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,4.840954,5.116163,5.379207034646868,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,18.720135,18.720135,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,16.950705,18.720135,9.452015169762397,PRISM-CC
