scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,0.000000,0.000000,54.359000,56.873000,56.873000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,24913.759000,0.606431,0.000000
network_hpc_local,prism_cc_cost,1,0.000000,0.000000,54.359000,57.220000,57.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,24913.759000,0.000000,0.000000
network_hpc_local,heft_colocation,1,0.000000,0.000000,54.359000,57.220000,57.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,43.962000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,0.000000,0.000000,54.359000,56.873000,56.873000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,24712.386000,0.606431,0.000000
network_hpc_multisite,prism_cc_cost,1,0.000000,0.000000,54.359000,57.220000,57.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,24712.386000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,0.000000,0.000000,54.359000,57.220000,57.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,44.601000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,0.000000,0.202166,81.953650,85.977000,85.977000,0.000000,0.000000,0.206516,0.206516,0.000000,0.000000,0.108000,24206.856000,0.336166,2.955744
network_cloud_multiregion,prism_cc_cost,1,0.000000,0.202166,81.953650,86.267000,86.267000,0.000000,0.000000,0.212806,0.212806,0.000000,0.000000,0.112000,24206.856000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,0.000000,0.202166,81.953650,86.267000,86.267000,0.000000,0.000000,0.212806,0.212806,0.000000,0.000000,0.112000,92.348000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,0.000000,0.116776,44.904600,47.173000,47.173000,0.000000,0.000000,0.133619,0.133619,0.000000,0.000000,0.120000,24651.724000,0.200982,-8.702266
network_hpc_cloud,prism_cc_cost,1,0.000000,0.116776,44.904600,47.268000,47.268000,0.000000,0.000000,0.122922,0.122922,0.000000,0.000000,0.127000,24651.724000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,0.000000,0.116776,44.904600,47.268000,47.268000,0.000000,0.000000,0.122922,0.122922,0.000000,0.000000,0.127000,79.198000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,0.000000,0.247911,68.225200,71.816000,71.816000,0.000000,0.000000,0.260959,0.260959,0.000000,0.000000,0.117000,22143.071000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,0.000000,0.247911,68.225200,71.816000,71.816000,0.000000,0.000000,0.260959,0.260959,0.000000,0.000000,0.117000,22143.071000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,0.000000,0.247911,68.225200,71.816000,71.816000,0.000000,0.000000,0.260959,0.260959,0.000000,0.000000,0.117000,100.619000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,0.000000,0.109305,44.748800,47.104000,47.104000,0.000000,0.000000,0.115058,0.115058,0.000000,0.000000,0.124000,58429.986000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,0.000000,0.109305,44.748800,47.104000,47.104000,0.000000,0.000000,0.115058,0.115058,0.000000,0.000000,0.124000,58429.986000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,0.000000,0.109305,44.748800,47.104000,47.104000,0.000000,0.000000,0.115058,0.115058,0.000000,0.000000,0.124000,88.476000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,0.000000,0.937956,265.882200,279.876000,279.876000,0.000000,0.000000,0.987322,0.987322,0.000000,0.000000,0.063000,22543.035000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,0.000000,0.937956,265.882200,279.876000,279.876000,0.000000,0.000000,0.987322,0.987322,0.000000,0.000000,0.063000,22543.035000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,0.000000,0.937956,265.882200,279.876000,279.876000,0.000000,0.000000,0.987322,0.987322,0.000000,0.000000,0.063000,98.491000,0.000000,0.000000
