scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,21233.007000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,21233.007000,0.000000,0.000000
network_hpc_local,heft_colocation,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,32.229000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,20404.442000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,20404.442000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,0.000000,0.000000,7228.153850,7608.583000,7608.583000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,30.497000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,0.000000,3.159341,4893.133650,5150.667000,5150.667000,0.000000,0.000000,3.325622,3.325622,0.000000,0.000000,0.080000,20518.971000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,0.000000,3.159341,4893.133650,5150.667000,5150.667000,0.000000,0.000000,3.325622,3.325622,0.000000,0.000000,0.080000,20518.971000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,0.000000,3.159341,4893.133650,5150.667000,5150.667000,0.000000,0.000000,3.325622,3.325622,0.000000,0.000000,0.080000,89.814000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,0.000000,4.543612,3651.929200,3844.136000,3844.136000,0.000000,0.000000,4.782749,4.782749,0.000000,0.000000,0.085000,20901.062000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,0.000000,4.543612,3651.929200,3844.136000,3844.136000,0.000000,0.000000,4.782749,4.782749,0.000000,0.000000,0.085000,20901.062000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,0.000000,4.543612,3651.929200,3844.136000,3844.136000,0.000000,0.000000,4.782749,4.782749,0.000000,0.000000,0.085000,54.993000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,0.000000,4.636917,3676.251100,3869.338000,3869.338000,0.000000,0.000000,4.879778,4.879778,0.000000,0.000000,0.088000,18731.155000,0.010337,0.024319
network_edge_cloud,prism_cc_cost,1,0.000000,4.636917,3676.251100,3869.738000,3869.738000,0.000000,0.000000,4.880965,4.880965,0.000000,0.000000,0.090000,18731.155000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,0.000000,4.636917,3676.251100,3869.738000,3869.738000,0.000000,0.000000,4.880965,4.880965,0.000000,0.000000,0.090000,87.533000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,0.000000,4.548284,3652.101150,3844.317000,3844.317000,0.000000,0.000000,4.787667,4.787667,0.000000,0.000000,0.089000,47485.681000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,0.000000,4.548284,3652.101150,3844.317000,3844.317000,0.000000,0.000000,4.787667,4.787667,0.000000,0.000000,0.089000,47485.681000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,0.000000,4.548284,3652.101150,3844.317000,3844.317000,0.000000,0.000000,4.787667,4.787667,0.000000,0.000000,0.089000,73.508000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,0.000000,16.835302,24557.270100,25849.758000,25849.758000,0.000000,0.000000,17.721371,17.721371,0.000000,0.000000,0.083000,17973.614000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,0.000000,16.835302,24557.270100,25849.758000,25849.758000,0.000000,0.000000,17.721371,17.721371,0.000000,0.000000,0.083000,17973.614000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,0.000000,16.835302,24557.270100,25849.758000,25849.758000,0.000000,0.000000,17.721371,17.721371,0.000000,0.000000,0.083000,83.858000,0.000000,0.000000
