scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,145.435,145.435,0,0.0,0.256434,0.256434,0,0.0
network_cloud_multiregion,prism_cc_cost,1,145.46,145.46,0,0.0,0.241697,0.241697,0,0.0
network_cloud_multiregion,prism_cc_time,1,144.295,144.295,0,0.0,0.253361,0.253361,0,0.0
network_edge_cloud,heft_classic,1,118.235,118.235,0,0.0,0.214084,0.214084,0,0.0
network_edge_cloud,prism_cc_cost,1,129.295,129.295,0,0.0,0.162448,0.162448,0,0.0
network_edge_cloud,prism_cc_time,1,118.235,118.235,0,0.0,0.214084,0.214084,0,0.0
network_fog_hpc_cloud,heft_classic,1,83.788,83.788,0,0.0,0.15872,0.15872,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,83.788,83.788,0,0.0,0.15007,0.15007,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,83.788,83.788,0,0.0,0.15872,0.15872,0,0.0
network_hpc_cloud,heft_classic,1,83.523,83.523,0,0.0,0.162821,0.162821,0,0.0
network_hpc_cloud,prism_cc_cost,1,96.209,96.209,0,0.0,0.113767,0.113767,0,0.0
network_hpc_cloud,prism_cc_time,1,82.322,82.322,0,0.0,0.158475,0.158475,0,0.0
network_hpc_local,heft_classic,1,121.772,121.772,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,121.76,121.76,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,121.76,121.76,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,121.772,121.772,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,121.764,121.764,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,121.764,121.764,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,481.007,481.007,0,0.0,1.287465,1.287465,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,517.004,517.004,0,0.0,1.096683,1.096683,0,0.0
network_wfcommons_overlay,prism_cc_time,1,480.118,480.118,0,0.0,1.28287,1.28287,0,0.0
