scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,153.612,153.612,0,0.0,1.582433,1.582433,0,0.0,1.0,0.21688349999999998,0.07708201484295801,4.0,0.218,8457.0,0.00012861356932153392,0.0,,
network_cloud_multiregion,prism_cc_cost,1,167.261,167.261,0,0.0,0.102202,0.102202,0,0.0,1.0,0.1120745,0.19411872823287815,1.0,0.218,11688.0,0.00012861356932153392,0.0,-8.885373538525636,93.54146431476087
network_cloud_multiregion,prism_cc_time,1,136.65,136.65,0,0.0,0.990217,0.990217,0,0.0,1.0,0.21505025,0.03701054419604635,4.0,0.212,10145.0,0.00012507374631268435,0.0,11.042106085462066,37.42439648313704
network_edge_cloud,heft_classic,1,128.764,128.764,0,0.0,1.671512,1.671512,0,0.0,1.0,0.31244325,0.08218380202745246,4.0,0.219,13434.0,0.00012920353982300885,0.0,,
network_edge_cloud,prism_cc_cost,1,96.324,96.324,0,0.0,0.120361,0.120361,0,0.0,1.0,0.07298,0.12640506793637668,1.0,0.228,20931.0,0.0001345132743362832,0.0,25.193377030847138,92.79927395077033
network_edge_cloud,prism_cc_time,1,96.324,96.324,0,0.0,0.120361,0.120361,0,0.0,1.0,0.07298,0.12640506793637668,1.0,0.228,20931.0,0.0001345132743362832,0.0,25.193377030847138,92.79927395077033
network_fog_hpc_cloud,heft_classic,1,94.22,94.22,0,0.0,0.746054,0.746054,0,0.0,1.0,0.093688,0.06751856660631525,12.0,0.224,15947.0,0.0001321533923303835,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,97.187,97.187,0,0.0,0.180685,0.180685,0,0.0,1.0,0.17453935714285712,0.09166619327102561,13.0,0.229,16887.0,0.0001351032448377581,0.0,-3.1490129484185934,75.78124371694274
network_fog_hpc_cloud,prism_cc_time,1,92.381,92.381,0,0.0,0.699111,0.699111,0,0.0,1.0,0.09563871428571429,0.06899996351906755,12.0,0.225,15947.0,0.00013274336283185842,0.0,1.9518149012948405,6.29217188031965
network_hpc_cloud,heft_classic,1,95.889,95.889,0,0.0,0.359179,0.359179,0,0.0,1.0,0.212163,0.1105649062474165,4.0,0.232,14891.0,0.0001368731563421829,0.0,,
network_hpc_cloud,prism_cc_cost,1,99.553,99.553,0,0.0,0.322826,0.322826,0,0.0,1.0,0.18417675,0.10345013448124414,4.0,0.232,14908.0,0.0001368731563421829,0.0,-3.8210847959619993,10.121137371616944
network_hpc_cloud,prism_cc_time,1,95.816,95.816,0,0.0,0.336351,0.336351,0,0.0,1.0,0.22411199999999998,0.10865687949918312,4.0,0.231,14759.0,0.00013628318584070796,0.0,0.0761296916225983,6.355605422366011
network_hpc_local,heft_classic,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,,
network_hpc_local,prism_cc_cost,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,,
network_hpc_multisite,prism_cc_cost,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,149.269,149.269,0,0.0,0.0,0.0,0,0.0,1.0,0.12558324999999998,0.06660118952907297,4.0,0.216,9494.0,0.00012743362831858408,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,518.124,518.124,0,0.0,5.349104,5.349104,0,0.0,1.0,0.1691688,0.043284337039626704,5.0,0.141,11336.0,8.31858407079646e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,547.095,547.095,0,0.0,2.400693,2.400693,0,0.0,1.0,0.1324526,0.12491862908405615,4.0,0.178,16093.0,0.00010501474926253687,0.0,-5.591518632605323,55.11971724610327
network_wfcommons_overlay,prism_cc_time,1,518.124,518.124,0,0.0,5.349104,5.349104,0,0.0,1.0,0.1691688,0.043284337039626704,5.0,0.141,11336.0,8.31858407079646e-05,0.0,0.0,0.0
