scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,2.186,2.186,0.0,0.0,,100.0,0.0,2.6412,0.0,82.76540966227472,0,0,True,True,1,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,2.201,2.201,0.0,0.0,,100.0,0.0,2.6412,0.0,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,2.186,2.186,0.0,0.0,,100.0,0.0,2.6412,0.0,82.76540966227472,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,2.197,2.197,0.0,0.0,,100.0,0.0,2.6364,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,2.195,2.195,0.0,0.0,,100.0,0.0,2.6364,0.0,83.25747231072674,0,0,True,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,2.195,2.195,0.0,0.0,,100.0,0.0,2.6364,0.0,83.25747231072674,0,0,True,False,,,,
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,1.782,1.782,0.0,0.0,,100.0,0.0,2.1384,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,19.391,19.391,0.023134,0.023134,,100.0,0.06305,19.62,36.69151467089611,98.8328236493374,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,14.784,14.784,0.015189,0.015189,,100.0,0.027618,16.9068,54.9967412557028,87.44410533039961,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,16.308,16.308,0.050976,0.050976,,100.0,0.06305,19.62,80.85011895321175,83.11926605504587,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,13.869,13.869,0.022069,0.022069,,100.0,0.026483,16.6428,83.33270399879167,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,13.869,13.869,0.022069,0.022069,,100.0,0.026483,16.6428,83.33270399879167,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,13.869,13.869,0.022069,0.022069,,100.0,0.026483,16.6428,83.33270399879167,83.33333333333333,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,14.089,14.089,0.023015,0.023015,,100.0,0.027618,16.9068,83.33333333333333,83.33333333333334,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,14.089,14.089,0.023015,0.023015,,100.0,0.027618,16.9068,83.33333333333333,83.33333333333334,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,16.35,16.35,0.052542,0.052542,,100.0,0.06305,19.62,83.33386201427439,83.33333333333334,0,0,True,False,,,,
