scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,14.086,14.086,0,0.0,0.021679,0.021679,0,0.0
network_cloud_multiregion,prism_cc_cost,1,14.086,14.086,0,0.0,0.021679,0.021679,0,0.0
network_cloud_multiregion,prism_cc_time,1,14.086,14.086,0,0.0,0.021679,0.021679,0,0.0
network_edge_cloud,heft_classic,1,13.865,13.865,0,0.0,0.021639,0.021639,0,0.0
network_edge_cloud,prism_cc_cost,1,13.865,13.865,0,0.0,0.021639,0.021639,0,0.0
network_edge_cloud,prism_cc_time,1,13.52,13.52,0,0.0,0.016906,0.016906,0,0.0
network_fog_hpc_cloud,heft_classic,1,2.196,2.196,0,0.0,0.0,0.0,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,2.196,2.196,0,0.0,0.0,0.0,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,2.18,2.18,0,0.0,0.0,0.0,0,0.0
network_hpc_cloud,heft_classic,1,2.196,2.196,0,0.0,0.0,0.0,0,0.0
network_hpc_cloud,prism_cc_cost,1,2.196,2.196,0,0.0,0.0,0.0,0,0.0
network_hpc_cloud,prism_cc_time,1,2.18,2.18,0,0.0,0.0,0.0,0,0.0
network_hpc_local,heft_classic,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,1.78,1.78,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,16.345,16.345,0,0.0,0.048402,0.048402,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,16.345,16.345,0,0.0,0.048402,0.048402,0,0.0
network_wfcommons_overlay,prism_cc_time,1,16.345,16.345,0,0.0,0.048402,0.048402,0,0.0
