scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,121.617,121.617,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,121.617,121.617,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,121.617,121.617,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,121.617,121.617,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,145.264,145.264,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,145.264,145.264,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,83.335,83.335,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,83.335,83.335,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,118.068,118.068,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,118.068,118.068,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,83.594,83.594,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,83.594,83.594,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,480.781,480.781,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,480.781,480.781,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.221463,0.221463,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.221463,0.221463,0.0,Empate
network_hpc_cloud,prism_cc_time,budget_used,0.12866,0.12866,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.12866,0.12866,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.185881,0.185881,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.185881,0.185881,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.128659,0.128659,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.128659,0.128659,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,1.180081,1.180081,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,1.180081,1.180081,0.0,Empate
