scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,126.205,127.719,1.1854148560511717,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,127.719,127.719,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,88.8,91.404,2.848890639359327,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,91.404,91.404,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,94.086,97.649,3.6487828856414324,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,97.649,97.649,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,89.408,91.175,1.938031258568682,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,91.175,91.175,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,513.147,513.147,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,513.147,513.147,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.330027,0.324784,-1.6143036602788308,HEFT
network_cloud_multiregion,prism_cc_cost,budget_used,0.324784,0.324784,0.0,Empate
network_hpc_cloud,prism_cc_time,budget_used,0.203822,0.21204,3.875683833239013,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.21204,0.21204,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.248388,0.324675,23.496419496419495,PRISM-CC
network_edge_cloud,prism_cc_cost,budget_used,0.324675,0.324675,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.216502,0.201876,-7.245041510630289,HEFT
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.201876,0.201876,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,1.760299,1.760299,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,1.760299,1.760299,0.0,Empate
