scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,85.978,85.978,0,0.0,0.144972,0.144972,0,0.0,1.0,0.760967,0.025968630826441342,4.0,0.113,5223.0,0.00012527716186252772,0.0,,
network_cloud_multiregion,prism_cc_cost,1,102.787,102.787,0,0.0,0.138152,0.138152,0,0.0,1.0,0.556836,0.17277387641220535,4.0,0.112,5742.0,0.00012416851441241685,0.0,-19.55035008955781,4.704356703363404
network_cloud_multiregion,prism_cc_time,1,85.822,85.822,0,0.0,0.143757,0.143757,0,0.0,1.0,0.7621467500000001,0.02636606803616153,4.0,0.106,5262.0,0.00011751662971175166,0.0,0.18144176417222047,0.8380928731065267
network_edge_cloud,heft_classic,1,71.816,71.816,0,0.0,0.128215,0.128215,0,0.0,1.0,0.36771075,0.3678255526410414,2.0,0.117,11425.0,0.00012971175166297117,0.0,,
network_edge_cloud,prism_cc_cost,1,82.994,82.994,0,0.0,0.105765,0.105765,0,0.0,1.0,0.51200525,0.3035499205191586,3.0,0.112,13083.0,0.00012416851441241685,0.0,-15.564776651442571,17.509651756814723
network_edge_cloud,prism_cc_time,1,71.816,71.816,0,0.0,0.128215,0.128215,0,0.0,1.0,0.36771075,0.3678255526410414,2.0,0.117,11425.0,0.00012971175166297117,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,47.104,47.104,0,0.0,0.078492,0.078492,0,0.0,1.0,0.19108364285714283,0.3040404447079855,4.0,0.124,8648.0,0.00013747228381374722,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,56.522,56.522,0,0.0,0.064476,0.064476,0,0.0,1.0,0.16468857142857143,0.3005572717733117,4.0,0.122,8459.0,0.0001352549889135255,0.0,-19.99405570652174,17.85659685063446
network_fog_hpc_cloud,prism_cc_time,1,47.104,47.104,0,0.0,0.078492,0.078492,0,0.0,1.0,0.19108364285714283,0.3040404447079855,4.0,0.124,8648.0,0.00013747228381374722,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,47.256,47.256,0,0.0,0.07946,0.07946,0,0.0,1.0,0.6728745,0.06859008527659081,4.0,0.128,8827.0,0.0001419068736141907,0.0,,
network_hpc_cloud,prism_cc_cost,1,56.694,56.694,0,0.0,0.064065,0.064065,0,0.0,1.0,0.57648025,0.2826366957556777,4.0,0.126,8498.0,0.00013968957871396897,0.0,-19.97206703910615,19.37452806443494
network_hpc_cloud,prism_cc_time,1,47.256,47.256,0,0.0,0.07946,0.07946,0,0.0,1.0,0.6728745,0.06859008527659081,4.0,0.128,8827.0,0.0001419068736141907,0.0,0.0,0.0
network_hpc_local,heft_classic,1,57.182,57.182,0,0.0,0.0,0.0,0,0.0,1.0,0.7022442499999999,0.06460516938440375,4.0,0.12,8324.0,0.00013303769401330377,0.0,,
network_hpc_local,prism_cc_cost,1,56.873,56.873,0,0.0,0.0,0.0,0,0.0,1.0,0.7060595,0.08222999492429756,4.0,0.12,7959.0,0.00013303769401330377,0.0,0.5403798398097384,0.0
network_hpc_local,prism_cc_time,1,56.873,56.873,0,0.0,0.0,0.0,0,0.0,1.0,0.7060595,0.08222999492429756,4.0,0.12,7959.0,0.00013303769401330377,0.0,0.5403798398097384,0.0
network_hpc_multisite,heft_classic,1,57.182,57.182,0,0.0,0.0,0.0,0,0.0,1.0,0.7022442499999999,0.06460516938440375,4.0,0.12,8324.0,0.00013303769401330377,0.0,,
network_hpc_multisite,prism_cc_cost,1,56.873,56.873,0,0.0,0.0,0.0,0,0.0,1.0,0.7060595,0.08210627777003414,4.0,0.12,7913.0,0.00013303769401330377,0.0,0.5403798398097384,0.0
network_hpc_multisite,prism_cc_time,1,56.873,56.873,0,0.0,0.0,0.0,0,0.0,1.0,0.7060595,0.08210627777003414,4.0,0.12,7913.0,0.00013303769401330377,0.0,0.5403798398097384,0.0
network_wfcommons_overlay,heft_classic,1,279.838,279.838,0,0.0,0.789819,0.789819,0,0.0,1.0,0.6153881999999999,0.1640102748859351,5.0,0.063,7271.0,6.984478935698448e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,335.576,335.576,0,0.0,0.675711,0.675711,0,0.0,1.0,0.4670870000000001,0.23080604767986473,5.0,0.082,8363.0,9.090909090909092e-05,0.0,-19.917952529677883,14.44736072441915
network_wfcommons_overlay,prism_cc_time,1,279.838,279.838,0,0.0,0.789819,0.789819,0,0.0,1.0,0.6153881999999999,0.1640102748859351,5.0,0.063,7271.0,6.984478935698448e-05,0.0,0.0,0.0
