scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,46704.446000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,46704.446000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,97.589000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,46247.008000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,46247.008000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,177.402000,147.835000,147.835000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216000,92.034000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.389741,153.262800,119.083000,119.083000,0.000000,0.000000,0.273242,0.273242,0.000000,0.000000,0.211000,46836.624000,6.761719,15.869624
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.389741,153.262800,142.219000,142.219000,0.000000,0.000000,0.202808,0.202808,0.000000,0.000000,0.221000,46836.624000,-11.353048,37.556037
network_cloud_multiregion,heft_colocation,1,1.000000,0.389741,153.262800,127.719000,127.719000,0.000000,0.000000,0.324784,0.324784,0.000000,0.000000,0.215000,264.938000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.254448,109.684800,88.800000,88.800000,0.000000,0.000000,0.203822,0.203822,0.000000,0.000000,0.219000,49553.626000,2.848891,3.875684
network_hpc_cloud,prism_cc_cost,1,1.000000,0.254448,109.684800,95.117000,95.117000,0.000000,0.000000,0.134341,0.134341,0.000000,0.000000,0.226000,49553.626000,-4.062185,36.643558
network_hpc_cloud,heft_colocation,1,1.000000,0.254448,109.684800,91.404000,91.404000,0.000000,0.000000,0.212040,0.212040,0.000000,0.000000,0.220000,157.259000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.389610,117.178800,94.434000,94.434000,0.000000,0.000000,0.317086,0.317086,0.000000,0.000000,0.211000,42129.321000,3.292404,2.337414
network_edge_cloud,prism_cc_cost,1,1.000000,0.389610,117.178800,96.172000,96.172000,0.000000,0.000000,0.127625,0.127625,0.000000,0.000000,0.227000,42129.321000,1.512560,60.691461
network_edge_cloud,heft_colocation,1,1.000000,0.389610,117.178800,97.649000,97.649000,0.000000,0.000000,0.324675,0.324675,0.000000,0.000000,0.211000,249.282000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.242251,109.410000,89.408000,89.408000,0.000000,0.000000,0.216502,0.216502,0.000000,0.000000,0.224000,112116.728000,1.938031,-7.245042
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.242251,109.410000,96.665000,96.665000,0.000000,0.000000,0.139331,0.139331,0.000000,0.000000,0.226000,112116.728000,-6.021387,30.981890
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.242251,109.410000,91.175000,91.175000,0.000000,0.000000,0.201876,0.201876,0.000000,0.000000,0.226000,208.526000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,2.112359,615.776400,513.147000,513.147000,0.000000,0.000000,1.760299,1.760299,0.000000,0.000000,0.134000,41419.167000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,2.112359,615.776400,557.846000,557.846000,0.000000,0.000000,0.776068,0.776068,0.000000,0.000000,0.169000,41419.167000,-8.710759,55.912717
network_wfcommons_overlay,heft_colocation,1,1.000000,2.112359,615.776400,513.147000,513.147000,0.000000,0.000000,1.760299,1.760299,0.000000,0.000000,0.134000,287.348000,0.000000,0.000000
