scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2370.891000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2370.891000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2.834000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2318.251000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2318.251000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2.330000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.410081,484.305600,403.588000,403.588000,0.000000,0.000000,0.341734,0.341734,0.000000,0.000000,0.008000,2262.773000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.410081,484.305600,403.588000,403.588000,0.000000,0.000000,0.341734,0.341734,0.000000,0.000000,0.008000,2262.773000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,1.000000,0.410081,484.305600,403.588000,403.588000,0.000000,0.000000,0.341734,0.341734,0.000000,0.000000,0.008000,3.083000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.473270,366.829200,305.691000,305.691000,0.000000,0.000000,0.394392,0.394392,0.000000,0.000000,0.011000,2314.282000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.473270,366.829200,350.019000,350.019000,0.000000,0.000000,0.382408,0.382408,0.000000,0.000000,0.010000,2314.282000,-14.500918,3.038601
network_hpc_cloud,heft_colocation,1,1.000000,0.473270,366.829200,305.691000,305.691000,0.000000,0.000000,0.394392,0.394392,0.000000,0.000000,0.011000,7.638000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.542910,366.829200,305.691000,305.691000,0.000000,0.000000,0.452425,0.452425,0.000000,0.000000,0.012000,2101.271000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.542910,366.829200,331.345000,331.345000,0.000000,0.000000,0.382070,0.382070,0.000000,0.000000,0.011000,2101.271000,-8.392135,15.550644
network_edge_cloud,heft_colocation,1,1.000000,0.542910,366.829200,305.691000,305.691000,0.000000,0.000000,0.452425,0.452425,0.000000,0.000000,0.012000,3.090000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.473270,366.829200,305.691000,305.691000,0.000000,0.000000,0.394392,0.394392,0.000000,0.000000,0.011000,5499.426000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.473270,366.829200,350.019000,350.019000,0.000000,0.000000,0.382408,0.382408,0.000000,0.000000,0.011000,5499.426000,-14.500918,3.038601
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.473270,366.829200,305.691000,305.691000,0.000000,0.000000,0.394392,0.394392,0.000000,0.000000,0.011000,4.907000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,3.735125,2400.074400,2000.062000,2000.062000,0.000000,0.000000,3.112604,3.112604,0.000000,0.000000,0.012000,1915.695000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,3.735125,2400.074400,2000.062000,2000.062000,0.000000,0.000000,1.280042,1.280042,0.000000,0.000000,0.013000,1915.695000,0.000000,58.875527
network_wfcommons_overlay,heft_colocation,1,1.000000,3.735125,2400.074400,2000.062000,2000.062000,0.000000,0.000000,3.112604,3.112604,0.000000,0.000000,0.012000,3.732000,0.000000,0.000000
