scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2235.601000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2235.601000,0.000000,0.000000
network_hpc_local,heft_colocation,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,4.053000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2276.620000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2276.620000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,0.000000,0.000000,528.643800,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2.337000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,0.000000,1.128992,363.229200,403.588000,403.588000,0.000000,0.000000,1.254436,1.254436,0.000000,0.000000,0.007000,2262.271000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,0.000000,1.128992,363.229200,403.588000,403.588000,0.000000,0.000000,1.254436,1.254436,0.000000,0.000000,0.007000,2262.271000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,0.000000,1.128992,363.229200,403.588000,403.588000,0.000000,0.000000,1.254436,1.254436,0.000000,0.000000,0.007000,3.006000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,2388.224000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,2388.224000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,3.126000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,0.000000,0.444206,275.121900,305.691000,305.691000,0.000000,0.000000,0.493562,0.493562,0.000000,0.000000,0.010000,2185.620000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,0.000000,0.444206,275.121900,305.691000,305.691000,0.000000,0.000000,0.493562,0.493562,0.000000,0.000000,0.010000,2185.620000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,0.000000,0.444206,275.121900,305.691000,305.691000,0.000000,0.000000,0.493562,0.493562,0.000000,0.000000,0.010000,3.427000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,5844.473000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,5844.473000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,0.000000,1.448956,275.121900,305.691000,305.691000,0.000000,0.000000,1.609951,1.609951,0.000000,0.000000,0.011000,7.141000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,0.000000,7.223585,1800.055800,2000.062000,2000.062000,0.000000,0.000000,8.026206,8.026206,0.000000,0.000000,0.013000,1884.448000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,0.000000,7.223585,1800.055800,2000.062000,2000.062000,0.000000,0.000000,8.026206,8.026206,0.000000,0.000000,0.013000,1884.448000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,0.000000,7.223585,1800.055800,2000.062000,2000.062000,0.000000,0.000000,8.026206,8.026206,0.000000,0.000000,0.013000,6.662000,0.000000,0.000000
