scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,495.895,495.895,0.0,0.0,,100.0,0.0,596.3016,0.0,83.16177585302471,0,0,True,True,1,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,307.363,307.363,105.547749,105.547749,,100.0,3191.690934,1372.1664,3.3069539370380654,22.39983430581014,0,0,True,True,2,3.3069539370380654,60.76194154721457,18.373990900410643
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,496.918,496.918,0.0,0.0,,100.0,0.0,596.3016,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,495.895,495.895,0.0,0.0,,100.0,0.0,596.3016,0.0,83.16177585302471,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,496.918,496.918,0.0,0.0,,100.0,0.0,596.3016,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,495.895,495.895,0.0,0.0,,100.0,0.0,596.3016,0.0,83.16177585302471,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,495.895,495.895,0.0,0.0,,100.0,0.0,596.3016,0.0,83.16177585302471,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,307.363,307.363,105.547749,105.547749,,100.0,3191.690934,1372.1664,3.3069539370380654,22.39983430581014,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,666.158,666.158,675.570386,675.570386,,100.0,2622.68399,676.0056,25.758741372421312,98.54326650548458,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,1948.084,1948.084,3331.484002,3331.484002,,100.0,8212.58685,2209.1436,40.56558625008636,88.18276910563895,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,496.266,496.266,1058.490422,1058.490422,,100.0,1599.022218,535.6008,66.19610472479377,92.65594823607432,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,1143.472,1143.472,2659.742445,2659.742445,,100.0,3191.690934,1372.1664,83.33333333333331,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,446.334,446.334,1332.518515,1332.518515,,100.0,1599.022218,535.6008,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,446.334,446.334,1332.518515,1332.518515,,100.0,1599.022218,535.6008,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,1840.953,1840.953,6843.822375,6843.822375,,100.0,8212.58685,2209.1436,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,1840.953,1840.953,6843.822375,6843.822375,,100.0,8212.58685,2209.1436,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,437.721,437.721,1341.374766,1341.374766,,100.0,1609.649719,525.2652,83.33333334368756,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,437.721,437.721,1341.374766,1341.374766,,100.0,1609.649719,525.2652,83.33333334368756,83.33333333333333,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,563.338,563.338,2185.569992,2185.569992,,100.0,2622.68399,676.0056,83.33333334604296,83.33333333333333,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,563.338,563.338,2185.569992,2185.569992,,100.0,2622.68399,676.0056,83.33333334604296,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,436.225,436.225,1482.461467,1482.461467,,100.0,1609.649719,525.2652,92.0983894509039,83.04852482136641,0,0,True,False,,,,
