scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,129.877,129.877,0,0.0,1.779481,1.779481,0,0.0
network_cloud_multiregion,prism_cc_cost,1,129.877,129.877,0,0.0,1.779481,1.779481,0,0.0
network_cloud_multiregion,prism_cc_time,1,123.903,123.903,0,0.0,1.033827,1.033827,0,0.0
network_edge_cloud,heft_classic,1,96.068,96.068,0,0.0,1.957717,1.957717,0,0.0
network_edge_cloud,prism_cc_cost,1,96.068,96.068,0,0.0,1.957717,1.957717,0,0.0
network_edge_cloud,prism_cc_time,1,95.783,95.783,0,0.0,1.94937,1.94937,0,0.0
network_fog_hpc_cloud,heft_classic,1,90.81,90.81,0,0.0,1.070484,1.070484,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,90.81,90.81,0,0.0,1.070484,1.070484,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,88.012,88.012,0,0.0,0.988683,0.988683,0,0.0
network_hpc_cloud,heft_classic,1,90.385,90.385,0,0.0,0.896713,0.896713,0,0.0
network_hpc_cloud,prism_cc_cost,1,90.385,90.385,0,0.0,0.896713,0.896713,0,0.0
network_hpc_cloud,prism_cc_time,1,86.87,86.87,0,0.0,0.965679,0.965679,0,0.0
network_hpc_local,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,512.742,512.742,0,0.0,5.614306,5.614306,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,512.742,512.742,0,0.0,5.614306,5.614306,0,0.0
network_wfcommons_overlay,prism_cc_time,1,512.742,512.742,0,0.0,5.614306,5.614306,0,0.0
