scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,64443.032000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,64443.032000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,120.969000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,62825.949000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,62825.949000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,66.882000,55.735000,55.735000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,121.042000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.252131,102.128400,84.924000,84.924000,0.000000,0.000000,0.210334,0.210334,0.000000,0.000000,0.110000,65794.441000,0.215023,-0.107087
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.252131,102.128400,90.340000,90.340000,0.000000,0.000000,0.189958,0.189958,0.000000,0.000000,0.117000,65794.441000,-6.148730,9.590736
network_cloud_multiregion,heft_colocation,1,1.000000,0.252131,102.128400,85.107000,85.107000,0.000000,0.000000,0.210109,0.210109,0.000000,0.000000,0.112000,251.159000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.135958,56.334000,46.945000,46.945000,0.000000,0.000000,0.113298,0.113298,0.000000,0.000000,0.123000,63938.399000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.135958,56.334000,55.826000,55.826000,0.000000,0.000000,0.079006,0.079006,0.000000,0.000000,0.121000,63938.399000,-18.917883,30.267083
network_hpc_cloud,heft_colocation,1,1.000000,0.135958,56.334000,46.945000,46.945000,0.000000,0.000000,0.113298,0.113298,0.000000,0.000000,0.123000,248.217000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.317604,86.098800,71.749000,71.749000,0.000000,0.000000,0.264670,0.264670,0.000000,0.000000,0.115000,59527.913000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.317604,86.098800,84.248000,84.248000,0.000000,0.000000,0.117384,0.117384,0.000000,0.000000,0.112000,59527.913000,-17.420452,55.648921
network_edge_cloud,heft_colocation,1,1.000000,0.317604,86.098800,71.749000,71.749000,0.000000,0.000000,0.264670,0.264670,0.000000,0.000000,0.115000,378.106000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.136108,56.106000,46.755000,46.755000,0.000000,0.000000,0.113423,0.113423,0.000000,0.000000,0.124000,102747.107000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.136108,56.106000,55.826000,55.826000,0.000000,0.000000,0.079431,0.079431,0.000000,0.000000,0.122000,102747.107000,-19.401134,29.969230
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.136108,56.106000,46.755000,46.755000,0.000000,0.000000,0.113423,0.113423,0.000000,0.000000,0.124000,215.018000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,1.178114,333.650400,278.042000,278.042000,0.000000,0.000000,0.981762,0.981762,0.000000,0.000000,0.063000,28334.760000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,1.178114,333.650400,333.626000,333.626000,0.000000,0.000000,0.847919,0.847919,0.000000,0.000000,0.082000,28334.760000,-19.991224,13.632938
network_wfcommons_overlay,heft_colocation,1,1.000000,1.178114,333.650400,278.042000,278.042000,0.000000,0.000000,0.981762,0.981762,0.000000,0.000000,0.063000,350.826000,0.000000,0.000000
