scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0
network_cloud_multiregion,prism_cc_cost,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0
network_cloud_multiregion,prism_cc_time,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0
network_edge_cloud,heft_classic,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0
network_edge_cloud,prism_cc_cost,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0
network_edge_cloud,prism_cc_time,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0
network_fog_hpc_cloud,heft_classic,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0
network_hpc_cloud,heft_classic,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0
network_hpc_cloud,prism_cc_cost,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0
network_hpc_cloud,prism_cc_time,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0
network_hpc_local,heft_classic,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0
network_wfcommons_overlay,prism_cc_time,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0
