scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0,1.0,0.814276,0.003110785672462811,4.0,0.692,40316.0,0.00010576188292832033,0.0,,
network_cloud_multiregion,prism_cc_cost,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0,1.0,0.814276,0.003110785672462811,4.0,0.692,40316.0,0.00010576188292832033,0.0,0.0,0.0
network_cloud_multiregion,prism_cc_time,1,142.849,142.849,0,0.0,0.218838,0.218838,0,0.0,1.0,0.814276,0.003110785672462811,4.0,0.692,40316.0,0.00010576188292832033,0.0,0.0,0.0
network_edge_cloud,heft_classic,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0,1.0,0.7574965,0.0576101936921757,4.0,0.794,82433.0,0.00012135106220388202,0.0,,
network_edge_cloud,prism_cc_cost,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0,1.0,0.7574965,0.0576101936921757,4.0,0.794,82433.0,0.00012135106220388202,0.0,0.0,0.0
network_edge_cloud,prism_cc_time,1,115.032,115.032,0,0.0,0.18197,0.18197,0,0.0,1.0,0.7574965,0.0576101936921757,4.0,0.794,82433.0,0.00012135106220388202,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0,1.0,0.25292935714285714,0.27596357908960356,14.0,0.775,70144.0,0.00011844719547608131,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0,1.0,0.25292935714285714,0.27596357908960356,14.0,0.775,70144.0,0.00011844719547608131,0.0,0.0,0.0
network_fog_hpc_cloud,prism_cc_time,1,80.749,80.749,0,0.0,0.125524,0.125524,0,0.0,1.0,0.25292935714285714,0.27596357908960356,14.0,0.775,70144.0,0.00011844719547608131,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0,1.0,0.68599125,0.07244134222381234,4.0,0.788,71636.0,0.00012043405165826074,0.0,,
network_hpc_cloud,prism_cc_cost,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0,1.0,0.68599125,0.07244134222381234,4.0,0.788,71636.0,0.00012043405165826074,0.0,0.0,0.0
network_hpc_cloud,prism_cc_time,1,80.604,80.604,0,0.0,0.125371,0.125371,0,0.0,1.0,0.68599125,0.07244134222381234,4.0,0.788,71636.0,0.00012043405165826074,0.0,0.0,0.0
network_hpc_local,heft_classic,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,,
network_hpc_local,prism_cc_cost,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,,
network_hpc_multisite,prism_cc_cost,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,119.192,119.192,0,0.0,0.0,0.0,0,0.0,1.0,0.59047475,0.006451905198272846,4.0,0.92,73097.0,0.0001406082836619288,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0,1.0,0.6713728000000001,0.011304071609822738,5.0,0.517,70480.0,7.90157420143665e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0,1.0,0.6713728000000001,0.011304071609822738,5.0,0.517,70480.0,7.90157420143665e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,478.131,478.131,0,0.0,1.176347,1.176347,0,0.0,1.0,0.6713728000000001,0.011304071609822738,5.0,0.517,70480.0,7.90157420143665e-05,0.0,0.0,0.0
