scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,242.017,248.162,2.4762050595981697,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,248.162,248.162,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,155.828,156.285,0.29241449915218587,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,156.285,156.285,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,192.656,193.348,0.35790388315369553,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,193.348,193.348,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,155.272,155.394,0.07851010978545767,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,155.394,155.394,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,1047.08,1047.08,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,1047.08,1047.08,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,29.927129,30.214903,0.9524240405471395,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,30.214903,30.214903,0.0,Empate
network_hpc_cloud,prism_cc_time,budget_used,10.809261,21.097712,48.76571924007685,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,21.097712,21.097712,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,26.560647,26.679194,0.44434250899783373,PRISM-CC
network_edge_cloud,prism_cc_cost,budget_used,26.679194,26.679194,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,24.817306,21.06283,-17.825126063306765,HEFT
network_fog_hpc_cloud,prism_cc_cost,budget_used,21.06283,21.06283,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,101.640311,101.640311,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,101.640311,101.640311,0.0,Empate
