scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,143.030400,119.181000,119.181000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,201085.966000,0.009229,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,143.030400,119.181000,119.181000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,201085.966000,0.009229,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,143.030400,119.192000,119.192000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,894.696000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,143.030400,119.192000,119.192000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,194664.961000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,143.030400,119.192000,119.192000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,194664.961000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,143.030400,119.192000,119.192000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,910.135000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.262606,171.418800,142.798000,142.798000,0.000000,0.000000,0.218722,0.218722,0.000000,0.000000,0.653000,207164.302000,0.035702,0.053007
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.262606,171.418800,161.883000,161.883000,0.000000,0.000000,0.209501,0.209501,0.000000,0.000000,0.750000,207164.302000,-13.324559,4.266626
network_cloud_multiregion,heft_colocation,1,1.000000,0.262606,171.418800,142.849000,142.849000,0.000000,0.000000,0.218838,0.218838,0.000000,0.000000,0.692000,4567.629000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.150445,96.724800,80.584000,80.584000,0.000000,0.000000,0.125213,0.125213,0.000000,0.000000,0.758000,216454.224000,0.024813,0.126026
network_hpc_cloud,prism_cc_cost,1,1.000000,0.150445,96.724800,93.054000,93.054000,0.000000,0.000000,0.090267,0.090267,0.000000,0.000000,0.824000,216454.224000,-15.445884,28.000096
network_hpc_cloud,heft_colocation,1,1.000000,0.150445,96.724800,80.604000,80.604000,0.000000,0.000000,0.125371,0.125371,0.000000,0.000000,0.788000,2600.840000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.218364,138.038400,115.032000,115.032000,0.000000,0.000000,0.181970,0.181970,0.000000,0.000000,0.794000,225269.423000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.218364,138.038400,129.298000,129.298000,0.000000,0.000000,0.161606,0.161606,0.000000,0.000000,0.812000,225269.423000,-12.401766,11.190856
network_edge_cloud,heft_colocation,1,1.000000,0.218364,138.038400,115.032000,115.032000,0.000000,0.000000,0.181970,0.181970,0.000000,0.000000,0.794000,5137.324000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.150629,96.898800,80.749000,80.749000,0.000000,0.000000,0.125524,0.125524,0.000000,0.000000,0.775000,501664.440000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.150629,96.898800,80.749000,80.749000,0.000000,0.000000,0.119344,0.119344,0.000000,0.000000,0.808000,501664.440000,0.000000,4.923361
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.150629,96.898800,80.749000,80.749000,0.000000,0.000000,0.125524,0.125524,0.000000,0.000000,0.775000,3183.122000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,1.411616,573.757200,478.131000,478.131000,0.000000,0.000000,1.176347,1.176347,0.000000,0.000000,0.517000,181386.063000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,1.411616,573.757200,495.914000,495.914000,0.000000,0.000000,0.988090,0.988090,0.000000,0.000000,0.629000,181386.063000,-3.719274,16.003526
network_wfcommons_overlay,heft_colocation,1,1.000000,1.411616,573.757200,478.131000,478.131000,0.000000,0.000000,1.176347,1.176347,0.000000,0.000000,0.517000,4802.315000,0.000000,0.000000
