scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,118.38,118.38,0,0.0,0.332431,0.332431,0,0.0
network_cloud_multiregion,prism_cc_cost,1,137.436,137.436,0,0.0,0.179227,0.179227,0,0.0
network_cloud_multiregion,prism_cc_time,1,114.803,114.803,0,0.0,0.294311,0.294311,0,0.0
network_edge_cloud,heft_classic,1,92.994,92.994,0,0.0,0.329926,0.329926,0,0.0
network_edge_cloud,prism_cc_cost,1,96.025,96.025,0,0.0,0.120098,0.120098,0,0.0
network_edge_cloud,prism_cc_time,1,92.994,92.994,0,0.0,0.329926,0.329926,0,0.0
network_fog_hpc_cloud,heft_classic,1,85.917,85.917,0,0.0,0.235945,0.235945,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,96.631,96.631,0,0.0,0.138613,0.138613,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,85.917,85.917,0,0.0,0.235945,0.235945,0,0.0
network_hpc_cloud,heft_classic,1,86.453,86.453,0,0.0,0.235994,0.235994,0,0.0
network_hpc_cloud,prism_cc_cost,1,96.454,96.454,0,0.0,0.140429,0.140429,0,0.0
network_hpc_cloud,prism_cc_time,1,86.421,86.421,0,0.0,0.239001,0.239001,0,0.0
network_hpc_local,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,512.375,512.375,0,0.0,1.773099,1.773099,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,544.938,544.938,0,0.0,0.729277,0.729277,0,0.0
network_wfcommons_overlay,prism_cc_time,1,512.375,512.375,0,0.0,1.773099,1.773099,0,0.0
