scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,246868.641000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,246868.641000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,996.367000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,247214.903000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,247214.903000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,971.025000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,36.257884,297.794400,248.162000,248.162000,0.000000,0.000000,30.214903,30.214903,0.000000,0.000000,0.780000,254465.557000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,36.257884,297.794400,271.790000,271.790000,0.000000,0.000000,11.359184,11.359184,0.000000,0.000000,0.949000,254465.557000,-9.521200,62.405360
network_cloud_multiregion,heft_colocation,1,1.000000,36.257884,297.794400,248.162000,248.162000,0.000000,0.000000,30.214903,30.214903,0.000000,0.000000,0.780000,3667.505000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,25.317254,187.542000,156.285000,156.285000,0.000000,0.000000,21.097712,21.097712,0.000000,0.000000,1.203000,285406.839000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,25.317254,187.542000,168.042000,168.042000,0.000000,0.000000,10.721529,10.721529,0.000000,0.000000,1.291000,285406.839000,-7.522795,49.181556
network_hpc_cloud,heft_colocation,1,1.000000,25.317254,187.542000,156.285000,156.285000,0.000000,0.000000,21.097712,21.097712,0.000000,0.000000,1.203000,1366.373000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,32.015033,232.017600,192.211000,192.211000,0.000000,0.000000,26.499858,26.499858,0.000000,0.000000,1.098000,229507.958000,0.588059,0.672194
network_edge_cloud,prism_cc_cost,1,1.000000,32.015033,232.017600,211.942000,211.942000,0.000000,0.000000,1.397699,1.397699,0.000000,0.000000,1.491000,229507.958000,-9.616857,94.761090
network_edge_cloud,heft_colocation,1,1.000000,32.015033,232.017600,193.348000,193.348000,0.000000,0.000000,26.679194,26.679194,0.000000,0.000000,1.098000,3657.648000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,25.275396,186.472800,155.272000,155.272000,0.000000,0.000000,24.817306,24.817306,0.000000,0.000000,0.755000,634731.618000,0.078510,-17.825126
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,25.275396,186.472800,168.073000,168.073000,0.000000,0.000000,10.679421,10.679421,0.000000,0.000000,1.240000,634731.618000,-8.159260,49.297312
network_fog_hpc_cloud,heft_colocation,1,1.000000,25.275396,186.472800,155.394000,155.394000,0.000000,0.000000,21.062830,21.062830,0.000000,0.000000,1.175000,1966.632000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,121.968373,1256.496000,1047.080000,1047.080000,0.000000,0.000000,101.640311,101.640311,0.000000,0.000000,0.361000,206950.363000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,121.968373,1256.496000,1168.741000,1168.741000,0.000000,0.000000,35.408893,35.408893,0.000000,0.000000,0.478000,206950.363000,-11.619074,65.162550
network_wfcommons_overlay,heft_colocation,1,1.000000,121.968373,1256.496000,1047.080000,1047.080000,0.000000,0.000000,101.640311,101.640311,0.000000,0.000000,0.361000,4524.680000,0.000000,0.000000
