scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28957.082000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28957.082000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,54.243000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28541.744000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28541.744000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,53.597000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.025343,15.822000,13.185000,13.185000,0.000000,0.000000,0.021119,0.021119,0.000000,0.000000,0.129000,28829.672000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.025343,15.822000,13.882000,13.882000,0.000000,0.000000,0.013835,0.013835,0.000000,0.000000,0.133000,28829.672000,-5.286310,34.490269
network_cloud_multiregion,heft_colocation,1,1.000000,0.025343,15.822000,13.185000,13.185000,0.000000,0.000000,0.021119,0.021119,0.000000,0.000000,0.129000,161.863000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,25773.476000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,25773.476000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,56.464000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.024632,15.558000,12.965000,12.965000,0.000000,0.000000,0.020527,0.020527,0.000000,0.000000,0.134000,26005.333000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.024632,15.558000,12.965000,12.965000,0.000000,0.000000,0.020527,0.020527,0.000000,0.000000,0.134000,26005.333000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.024632,15.558000,12.965000,12.965000,0.000000,0.000000,0.020527,0.020527,0.000000,0.000000,0.134000,171.646000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,64882.134000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,64882.134000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.555200,1.296000,1.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,85.136000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.057402,18.534000,15.433000,15.433000,0.000000,0.000000,0.047791,0.047791,0.000000,0.000000,0.110000,25068.370000,0.077695,0.091983
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.057402,18.534000,16.094000,16.094000,0.000000,0.000000,0.047191,0.047191,0.000000,0.000000,0.123000,25068.370000,-4.202007,1.346295
network_wfcommons_overlay,heft_colocation,1,1.000000,0.057402,18.534000,15.445000,15.445000,0.000000,0.000000,0.047835,0.047835,0.000000,0.000000,0.119000,179.212000,0.000000,0.000000
