scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,5147.723,5147.723,0,0.0,3.293923,3.293923,0,0.0
network_cloud_multiregion,prism_cc_cost,1,6156.697,6156.697,0,0.0,2.984315,2.984315,0,0.0
network_cloud_multiregion,prism_cc_time,1,5147.036,5147.036,0,0.0,3.309965,3.309965,0,0.0
network_edge_cloud,heft_classic,1,3867.591,3867.591,0,0.0,4.866896,4.866896,0,0.0
network_edge_cloud,prism_cc_cost,1,3880.904,3880.904,0,0.0,4.851124,4.851124,0,0.0
network_edge_cloud,prism_cc_time,1,3867.591,3867.591,0,0.0,4.866896,4.866896,0,0.0
network_fog_hpc_cloud,heft_classic,1,3840.911,3840.911,0,0.0,4.752428,4.752428,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,3916.718,3916.718,0,0.0,4.666076,4.666076,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,3840.911,3840.911,0,0.0,4.752428,4.752428,0,0.0
network_hpc_cloud,heft_classic,1,3840.911,3840.911,0,0.0,4.752422,4.752422,0,0.0
network_hpc_cloud,prism_cc_cost,1,3916.116,3916.116,0,0.0,4.666076,4.666076,0,0.0
network_hpc_cloud,prism_cc_time,1,3840.911,3840.911,0,0.0,4.752422,4.752422,0,0.0
network_hpc_local,heft_classic,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,7605.492,7605.492,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,25846.482,25846.482,0,0.0,17.619233,17.619233,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,26485.008,26485.008,0,0.0,16.95041,16.95041,0,0.0
network_wfcommons_overlay,prism_cc_time,1,25846.482,25846.482,0,0.0,17.619233,17.619233,0,0.0
