algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,37.364000,0.159641,0.191569,44.836800,0.000000,0.000000,true,0.001000,1,0.322000,"{""h4d-highmem-192-1"":3,""h4d-standard-192-1"":5}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.000958,""h4d-standard-192-1"":0.0011}",[]
prism_cc_cost,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,44.664000,0.061085,0.191569,44.836800,0.000000,0.000000,true,0.000000,2,50.431000,"{""h3-standard-88-1"":8}","{""h3-standard-88-1"":0.007378,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.061085,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""e1d722fff2e70a1c"",""weighted_score"":0.061085,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.083558,""budget_violation"":0,""makespan"":38.301,""deadline_violation"":0,""machine_signature"":""eee2c84230bc95a9"",""weighted_score"":0.083558,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.159641,""budget_violation"":0,""makespan"":37.364,""deadline_violation"":0,""machine_signature"":""f3f7d85cb010d06b"",""weighted_score"":0.159641,""diversity_score"":1.375}]"
prism_cc_time,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,37.364000,0.159641,0.191569,44.836800,0.000000,0.000000,true,0.001000,1,50.431000,"{""h4d-highmem-192-1"":3,""h4d-standard-192-1"":5}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.000958,""h4d-standard-192-1"":0.0011}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.159641,""budget_violation"":0,""makespan"":37.364,""deadline_violation"":0,""machine_signature"":""f3f7d85cb010d06b"",""weighted_score"":0.836557,""diversity_score"":1.375},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.083558,""budget_violation"":0,""makespan"":38.301,""deadline_violation"":0,""machine_signature"":""eee2c84230bc95a9"",""weighted_score"":0.857536,""diversity_score"":0},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.061085,""budget_violation"":0,""makespan"":44.664,""deadline_violation"":0,""machine_signature"":""e1d722fff2e70a1c"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,36.936000,0.186473,0.223768,44.323200,0.000000,0.000000,true,0.001000,1,0.481000,"{""h4d-standard-192-1"":5,""h4d-standard-192-2"":2,""h4d-standard-192-3"":1}","{""h4d-standard-192-1"":0.001365,""h4d-standard-192-2"":0.000467,""h4d-standard-192-3"":0.000251,""h4d-standard-192-4"":0}",[]
prism_cc_cost,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,37.512000,0.081835,0.223768,44.323200,0.000000,0.000000,true,0.001000,2,55.632000,"{""h4d-standard-192-2"":8}","{""h4d-standard-192-1"":0,""h4d-standard-192-2"":0.002051,""h4d-standard-192-3"":0,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.081835,""budget_violation"":0,""makespan"":37.512,""deadline_violation"":0,""machine_signature"":""3bdd3a6cd12847c5"",""weighted_score"":0.081835,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.186473,""budget_violation"":0,""makespan"":36.936,""deadline_violation"":0,""machine_signature"":""1bee189c5d13e7b7"",""weighted_score"":0.186473,""diversity_score"":2.375},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.19443,""budget_violation"":0,""makespan"":36.245,""deadline_violation"":0,""machine_signature"":""e1fea2fe1ee59964"",""weighted_score"":0.19443,""diversity_score"":2.5}]"
prism_cc_time,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,36.245000,0.194430,0.223768,44.323200,0.000000,0.000000,true,0.001000,0,55.632000,"{""h4d-standard-192-1"":4,""h4d-standard-192-2"":2,""h4d-standard-192-3"":2}","{""h4d-standard-192-1"":0.001226,""h4d-standard-192-2"":0.000457,""h4d-standard-192-3"":0.000439,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.19443,""budget_violation"":0,""makespan"":36.245,""deadline_violation"":0,""machine_signature"":""e1fea2fe1ee59964"",""weighted_score"":0.966224,""diversity_score"":2.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.186473,""budget_violation"":0,""makespan"":36.936,""deadline_violation"":0,""machine_signature"":""1bee189c5d13e7b7"",""weighted_score"":0.984645,""diversity_score"":2.375},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.081835,""budget_violation"":0,""makespan"":37.512,""deadline_violation"":0,""machine_signature"":""3bdd3a6cd12847c5"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.000000,72.091200,0.000000,0.000000,true,0.001000,0,0.159000,"{""bora005"":4,""bora006"":4}","{""bora005"":0.018587,""bora006"":0.019238,""diablo01"":0,""diablo02"":0}",[]
prism_cc_cost,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.000000,72.091200,0.000000,0.000000,true,0.001000,0,15.211000,"{""bora005"":4,""bora006"":4}","{""bora005"":0.018587,""bora006"":0.019238,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""3d2114b6bdbc8faa"",""weighted_score"":0,""diversity_score"":1.5}]"
prism_cc_time,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.000000,72.091200,0.000000,0.000000,true,0.001000,0,15.211000,"{""bora005"":4,""bora006"":4}","{""bora005"":0.018587,""bora006"":0.019238,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""3d2114b6bdbc8faa"",""weighted_score"":1,""diversity_score"":1.5}]"
heft_colocation,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,75.631000,0.000000,0.000000,90.757200,0.000000,0.000000,true,0.001000,0,0.138000,"{""bora001"":3,""bora002"":3,""bora003"":2}","{""bora001"":0.011138,""bora002"":0.009065,""bora003"":0.009842,""bora004"":0}",[]
