scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
real_network_stress_cluster_homo,prism_cc_time,makespan,60.076,75.631,20.566963282251987,PRISM-CC
real_network_stress_cluster_homo,prism_cc_cost,makespan,60.076,75.631,20.566963282251987,PRISM-CC
real_network_stress_cluster_hetero,prism_cc_time,makespan,60.076,60.076,0.0,Empate
real_network_stress_cluster_hetero,prism_cc_cost,makespan,60.076,60.076,0.0,Empate
real_network_stress_cloud_homo,prism_cc_time,makespan,36.245,36.936,1.8708035520901085,PRISM-CC
real_network_stress_cloud_homo,prism_cc_cost,makespan,37.512,36.936,-1.5594541910331399,HEFT
real_network_stress_cloud_hetero,prism_cc_time,makespan,37.364,37.364,0.0,Empate
real_network_stress_cloud_hetero,prism_cc_cost,makespan,44.664,37.364,-19.53752274917034,HEFT
real_network_stress_hybrid_homo,prism_cc_time,makespan,60.076,73.822,18.620465443905612,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_cost,makespan,60.076,73.822,18.620465443905612,PRISM-CC
real_network_stress_hybrid_hetero,prism_cc_time,makespan,61.343,61.343,0.0,Empate
real_network_stress_hybrid_hetero,prism_cc_cost,makespan,61.343,61.343,0.0,Empate
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,makespan,42.978,42.978,0.0,Empate
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,makespan,42.978,42.978,0.0,Empate
real_network_stress_cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cloud_homo,prism_cc_time,budget_used,0.19443,0.186473,-4.267105693585663,HEFT
real_network_stress_cloud_homo,prism_cc_cost,budget_used,0.081835,0.186473,56.11429000445104,PRISM-CC
real_network_stress_cloud_hetero,prism_cc_time,budget_used,0.159641,0.159641,0.0,Empate
real_network_stress_cloud_hetero,prism_cc_cost,budget_used,0.061085,0.159641,61.73602019531324,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_time,budget_used,0.0,0.041372,100.0,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_cost,budget_used,0.0,0.041372,100.0,PRISM-CC
real_network_stress_hybrid_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
real_network_stress_hybrid_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,budget_used,0.007759,0.007759,0.0,Empate
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,budget_used,0.007759,0.007759,0.0,Empate
