scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,0.000000,0.000000,600.548850,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,4534.788100,0.000000,0.000000
cluster_homo,prism_cc_cost,30,0.000000,0.000000,600.548850,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,4534.788100,0.000000,0.000000
cluster_homo,heft_colocation,30,0.000000,0.000000,600.548850,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,794.874467,0.000000,0.000000
cluster_hetero,prism_cc_time,30,0.000000,0.000000,595.314750,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,4580.626433,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,0.000000,0.000000,595.314750,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,4580.626433,0.000000,0.000000
cluster_hetero,heft_colocation,30,0.000000,0.000000,595.314750,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,706.880667,0.000000,0.000000
cloud_homo,prism_cc_time,30,0.000000,12.135283,125.063670,138.977167,139.184500,4.183948,1.497206,10.115505,10.105763,0.048278,0.017276,3951.441200,13322.958200,-0.012618,-0.027387
cloud_homo,prism_cc_cost,30,0.000000,12.135283,125.063670,138.977167,139.184500,4.183948,1.497206,10.115505,10.105763,0.048278,0.017276,3951.441200,13322.958200,-0.012618,-0.027387
cloud_homo,heft_colocation,30,0.000000,12.135283,125.063670,138.959633,139.015500,4.183881,1.497183,10.112735,10.100269,0.050619,0.018114,3947.266700,3005.315300,0.000000,0.000000
cloud_hetero,prism_cc_time,30,0.000000,11.122874,155.192790,172.434600,172.654000,5.577945,1.996042,9.268776,9.266036,0.085028,0.030427,5324.499367,15836.320533,0.001063,0.003080
cloud_hetero,prism_cc_cost,30,0.000000,11.122874,155.192790,172.434600,172.654000,5.577945,1.996042,9.268776,9.266036,0.085028,0.030427,5324.499367,15836.320533,0.001063,0.003080
cloud_hetero,heft_colocation,30,0.000000,11.122874,155.192790,172.436433,172.647500,5.564823,1.991346,9.269062,9.268804,0.081030,0.028996,5321.910633,2724.210333,0.000000,0.000000
hybrid_homo,prism_cc_time,30,0.000000,6.728573,184.243290,204.703467,204.560500,7.464716,2.671214,5.605335,5.613116,0.057061,0.020419,7092.113133,14574.176233,0.005520,0.032264
hybrid_homo,prism_cc_cost,30,0.000000,6.728573,184.243290,204.703467,204.560500,7.464716,2.671214,5.605335,5.613116,0.057061,0.020419,7092.113133,14574.176233,0.005520,0.032264
hybrid_homo,heft_colocation,30,0.000000,6.728573,184.243290,204.714767,204.581500,7.450471,2.666117,5.607144,5.622996,0.056717,0.020296,7089.462900,2440.351300,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,0.000000,4.357210,223.644180,248.499133,247.997000,9.727860,3.481070,3.630268,3.638962,0.073625,0.026346,9224.984767,12354.253000,-0.002254,0.020375
hybrid_hetero,prism_cc_cost,30,0.000000,4.357210,223.644180,248.499133,247.997000,9.727860,3.481070,3.630268,3.638962,0.073625,0.026346,9224.984767,12354.253000,-0.002254,0.020375
hybrid_hetero,heft_colocation,30,0.000000,4.357210,223.644180,248.493533,247.980500,9.731023,3.482202,3.631008,3.632587,0.073826,0.026418,9222.806200,2070.480000,0.000000,0.000000
hybrid_raspberry_500mbps,prism_cc_time,30,0.000000,35.326126,430.042920,477.477133,477.548500,16.074960,5.752350,29.236520,29.271693,0.287253,0.102792,13835.569967,41729.904033,0.072900,0.685902
hybrid_raspberry_500mbps,prism_cc_cost,30,0.000000,35.326126,430.042920,477.477133,477.548500,16.074960,5.752350,29.236520,29.271693,0.287253,0.102792,13835.569967,41729.904033,0.072900,0.685902
hybrid_raspberry_500mbps,heft_colocation,30,0.000000,35.326126,430.042920,477.825467,478.022000,15.964158,5.712701,29.438439,29.453647,0.290323,0.103891,13834.396033,3034.390400,0.000000,0.000000
