scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
cluster_homo,prism_cc_time,makespan,490.855,490.855,0.0,Empate
cluster_homo,prism_cc_cost,makespan,490.855,490.855,0.0,Empate
cluster_hetero,prism_cc_time,makespan,438.461,438.461,0.0,Empate
cluster_hetero,prism_cc_cost,makespan,438.461,438.461,0.0,Empate
cloud_homo,prism_cc_time,makespan,117.447,118.248,0.6773898924294719,PRISM-CC
cloud_homo,prism_cc_cost,makespan,118.248,118.248,0.0,Empate
cloud_hetero,prism_cc_time,makespan,132.989,132.989,0.0,Empate
cloud_hetero,prism_cc_cost,makespan,132.989,132.989,0.0,Empate
hybrid_homo,prism_cc_time,makespan,142.714,142.714,0.0,Empate
hybrid_homo,prism_cc_cost,makespan,142.714,142.714,0.0,Empate
hybrid_hetero,prism_cc_time,makespan,154.083,156.419,1.4934247118316908,PRISM-CC
hybrid_hetero,prism_cc_cost,makespan,156.419,156.419,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_time,makespan,338.693,338.693,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,makespan,338.693,338.693,0.0,Empate
cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cloud_homo,prism_cc_time,budget_used,9.448399,9.461985,0.1435850934027067,PRISM-CC
cloud_homo,prism_cc_cost,budget_used,9.461985,9.461985,0.0,Empate
cloud_hetero,prism_cc_time,budget_used,8.459216,8.459216,0.0,Empate
cloud_hetero,prism_cc_cost,budget_used,8.459216,8.459216,0.0,Empate
hybrid_homo,prism_cc_time,budget_used,5.313365,5.313365,0.0,Empate
hybrid_homo,prism_cc_cost,budget_used,5.313365,5.313365,0.0,Empate
hybrid_hetero,prism_cc_time,budget_used,2.997024,3.155368,5.018241929309039,PRISM-CC
hybrid_hetero,prism_cc_cost,budget_used,3.155368,3.155368,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_time,budget_used,27.589657,27.589657,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,budget_used,27.589657,27.589657,0.0,Empate
