scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
cloud_hetero,heft_classic,1,132.989,132.989,0,0.0,8.459216,8.459216,0,0.0,1.0,0.050017,0.048126789062849396,4.0,0.363,9901.0,5.629652605459057e-05,0.0,,
cloud_hetero,prism_cc_cost,1,136.331,136.331,0,0.0,6.687516,6.687516,0,0.0,1.0,0.04948475,0.04607973759894363,4.0,0.326,9568.0,5.055831265508685e-05,0.0,-2.512989796148542,20.944021289916233
cloud_hetero,prism_cc_time,1,132.989,132.989,0,0.0,8.459216,8.459216,0,0.0,1.0,0.050017,0.048126789062849396,4.0,0.363,9901.0,5.629652605459057e-05,0.0,0.0,0.0
cloud_homo,heft_classic,1,118.248,118.248,0,0.0,9.461985,9.461985,0,0.0,1.0,0.055316500000000005,0.01571325404714122,4.0,0.284,7278.0,4.4044665012406945e-05,0.0,,
cloud_homo,prism_cc_cost,1,123.593,123.593,0,0.0,6.099292,6.099292,0,0.0,1.0,0.0529245,0.016736822898925592,4.0,0.284,7574.0,4.4044665012406945e-05,0.0,-4.5201610175224936,35.538980457060546
cloud_homo,prism_cc_time,1,118.248,118.248,0,0.0,9.461985,9.461985,0,0.0,1.0,0.055316500000000005,0.01571325404714122,4.0,0.284,7278.0,4.4044665012406945e-05,0.0,0.0,0.0
cluster_hetero,heft_classic,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,,
cluster_hetero,prism_cc_cost,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,0.0,0.0
cluster_hetero,prism_cc_time,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,0.0,0.0
cluster_homo,heft_classic,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,,
cluster_homo,prism_cc_cost,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,0.0,0.0
cluster_homo,prism_cc_time,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,0.0,0.0
hybrid_hetero,heft_classic,1,156.419,156.419,0,0.0,3.155368,3.155368,0,0.0,1.0,0.045246999999999996,0.06974337203276021,4.0,0.571,10972.0,8.85545905707196e-05,0.0,,
hybrid_hetero,prism_cc_cost,1,176.055,176.055,0,0.0,0.384059,0.384059,0,0.0,1.0,0.038106999999999995,0.06372151511459845,3.0,0.59,10890.0,9.150124069478908e-05,0.0,-12.553462175311179,87.82839275799209
hybrid_hetero,prism_cc_time,1,154.091,154.091,0,0.0,2.993273,2.993273,0,0.0,1.0,0.044804000000000004,0.07190113021712523,4.0,0.552,11310.0,8.560794044665013e-05,0.0,1.4883102436404803,5.137118713253108
hybrid_homo,heft_classic,1,142.714,142.714,0,0.0,5.313365,5.313365,0,0.0,1.0,0.047531000000000004,0.04429659004934804,4.0,0.362,10335.0,5.6141439205955334e-05,0.0,,
hybrid_homo,prism_cc_cost,1,162.483,162.483,0,0.0,3.156897,3.156897,0,0.0,1.0,0.06622675,0.013751207135648131,4.0,0.335,9489.0,5.195409429280397e-05,0.0,-13.852179884244016,40.58573051164376
hybrid_homo,prism_cc_time,1,142.714,142.714,0,0.0,5.313365,5.313365,0,0.0,1.0,0.047531000000000004,0.04429659004934804,4.0,0.362,10335.0,5.6141439205955334e-05,0.0,0.0,0.0
hybrid_raspberry_500mbps,heft_classic,1,338.693,338.693,0,0.0,27.589657,27.589657,0,0.0,1.0,0.153522,0.09908335818030048,14.0,0.841,4329.0,0.00013042803970223323,0.0,,
hybrid_raspberry_500mbps,prism_cc_cost,1,338.693,338.693,0,0.0,27.589657,27.589657,0,0.0,1.0,0.153522,0.09908335818030048,14.0,0.841,4329.0,0.00013042803970223323,0.0,0.0,0.0
hybrid_raspberry_500mbps,prism_cc_time,1,338.693,338.693,0,0.0,27.589657,27.589657,0,0.0,1.0,0.153522,0.09908335818030048,14.0,0.841,4329.0,0.00013042803970223323,0.0,0.0,0.0
