scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
cluster_homo,prism_cc_time,makespan,490.855,490.855,0.0,Empate
cluster_homo,prism_cc_cost,makespan,490.855,490.855,0.0,Empate
cluster_hetero,prism_cc_time,makespan,438.461,438.461,0.0,Empate
cluster_hetero,prism_cc_cost,makespan,438.461,438.461,0.0,Empate
cloud_homo,prism_cc_time,makespan,118.248,118.248,0.0,Empate
cloud_homo,prism_cc_cost,makespan,123.593,118.248,-4.5201610175224936,HEFT
cloud_hetero,prism_cc_time,makespan,132.989,132.989,0.0,Empate
cloud_hetero,prism_cc_cost,makespan,136.331,132.989,-2.512989796148542,HEFT
hybrid_homo,prism_cc_time,makespan,142.714,142.714,0.0,Empate
hybrid_homo,prism_cc_cost,makespan,162.483,142.714,-13.852179884244016,HEFT
hybrid_hetero,prism_cc_time,makespan,154.091,156.419,1.4883102436404803,PRISM-CC
hybrid_hetero,prism_cc_cost,makespan,176.055,156.419,-12.553462175311179,HEFT
hybrid_raspberry_500mbps,prism_cc_time,makespan,338.693,338.693,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,makespan,338.693,338.693,0.0,Empate
cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cloud_homo,prism_cc_time,budget_used,9.461985,9.461985,0.0,Empate
cloud_homo,prism_cc_cost,budget_used,6.099292,9.461985,35.538980457060546,PRISM-CC
cloud_hetero,prism_cc_time,budget_used,8.459216,8.459216,0.0,Empate
cloud_hetero,prism_cc_cost,budget_used,6.687516,8.459216,20.944021289916233,PRISM-CC
hybrid_homo,prism_cc_time,budget_used,5.313365,5.313365,0.0,Empate
hybrid_homo,prism_cc_cost,budget_used,3.156897,5.313365,40.58573051164376,PRISM-CC
hybrid_hetero,prism_cc_time,budget_used,2.993273,3.155368,5.137118713253108,PRISM-CC
hybrid_hetero,prism_cc_cost,budget_used,0.384059,3.155368,87.82839275799209,PRISM-CC
hybrid_raspberry_500mbps,prism_cc_time,budget_used,27.589657,27.589657,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,budget_used,27.589657,27.589657,0.0,Empate
