algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,105.403000,0.532895,0.241327,110.620800,0.291600,0.000000,false,82.562000,11,1.914000,"{""bora011"":2,""diablo03"":1,""h3-standard-88-2"":14,""h4d-standard-192-7"":41}","{""bora011"":0.000483,""diablo03"":0.000183,""h3-standard-88-2"":0.011462,""h4d-standard-192-7"":0.016812}",[]
prism_cc_cost,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,178.290000,0.317769,0.241327,110.620800,0.076400,67.669000,false,100.098000,9,301.788000,"{""bora011"":28,""diablo03"":15,""h3-standard-88-2"":2,""h4d-standard-192-7"":13}","{""bora011"":0.007951,""diablo03"":0.003194,""h3-standard-88-2"":0.011406,""h4d-standard-192-7"":0.008507}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.317769,""budget_violation"":0.0764,""makespan"":178.29,""deadline_violation"":67.669,""machine_signature"":""4289a5c98cc44caf"",""weighted_score"":0.317769,""diversity_score"":3.517241},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.436162,""budget_violation"":0.1948,""makespan"":110.587,""deadline_violation"":0,""machine_signature"":""8b2b31b51ee686db"",""weighted_score"":0.436162,""diversity_score"":3.396552},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.480994,""budget_violation"":0.2397,""makespan"":105.776,""deadline_violation"":0,""machine_signature"":""7f580e42df91185a"",""weighted_score"":0.480994,""diversity_score"":3.310345},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.496762,""budget_violation"":0.2554,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""f41e516a1a5f5f84"",""weighted_score"":0.496762,""diversity_score"":3.327586},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.532895,""budget_violation"":0.2916,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""2e6ddbaea02b6072"",""weighted_score"":0.532895,""diversity_score"":3.293103}]"
prism_cc_time,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,110.587000,0.436162,0.241327,110.620800,0.194800,0.000000,false,82.424000,10,301.788000,"{""bora011"":9,""diablo03"":3,""h3-standard-88-2"":11,""h4d-standard-192-7"":35}","{""bora011"":0.00333,""diablo03"":0.000597,""h3-standard-88-2"":0.010792,""h4d-standard-192-7"":0.015931}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.436162,""budget_violation"":0.1948,""makespan"":110.587,""deadline_violation"":0,""machine_signature"":""8b2b31b51ee686db"",""weighted_score"":0.620265,""diversity_score"":3.396552},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.480994,""budget_violation"":0.2397,""makespan"":105.776,""deadline_violation"":0,""machine_signature"":""7f580e42df91185a"",""weighted_score"":0.593281,""diversity_score"":3.310345},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.496762,""budget_violation"":0.2554,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""f41e516a1a5f5f84"",""weighted_score"":0.591189,""diversity_score"":3.327586},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.532895,""budget_violation"":0.2916,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""2e6ddbaea02b6072"",""weighted_score"":0.591189,""diversity_score"":3.293103},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.317769,""budget_violation"":0.0764,""makespan"":178.29,""deadline_violation"":67.669,""machine_signature"":""4289a5c98cc44caf"",""weighted_score"":1,""diversity_score"":3.517241}]"
heft_colocation,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,110.970000,0.585998,0.241327,110.620800,0.344700,0.349000,false,72.684000,18,1.563000,"{""bora011"":2,""diablo03"":1,""h3-standard-88-2"":16,""h4d-standard-192-7"":39}","{""bora011"":0.000459,""diablo03"":0.000173,""h3-standard-88-2"":0.009801,""h4d-standard-192-7"":0.015864}",[]
prism_cc_cost,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,195.961000,0.326317,0.241327,110.620800,0.085000,85.340000,false,73.242000,7,306.761000,"{""bora011"":27,""diablo03"":16,""h3-standard-88-2"":2,""h4d-standard-192-7"":13}","{""bora011"":0.014431,""diablo03"":0.002878,""h3-standard-88-2"":0.01219,""h4d-standard-192-7"":0.006282}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.326317,""budget_violation"":0.085,""makespan"":195.961,""deadline_violation"":85.34,""machine_signature"":""75aa2ebf2f9fee3f"",""weighted_score"":0.326317,""diversity_score"":3.534483},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.397618,""budget_violation"":0.1563,""makespan"":116.189,""deadline_violation"":5.568,""machine_signature"":""1e328453cd40c21b"",""weighted_score"":0.397618,""diversity_score"":3.413793},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.408465,""budget_violation"":0.1671,""makespan"":114.24,""deadline_violation"":3.619,""machine_signature"":""3c47001337862a44"",""weighted_score"":0.408465,""diversity_score"":3.344828},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.437113,""budget_violation"":0.1958,""makespan"":111.68,""deadline_violation"":1.059,""machine_signature"":""51d832a474462a75"",""weighted_score"":0.437113,""diversity_score"":3.293103},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.561293,""budget_violation"":0.32,""makespan"":110.97,""deadline_violation"":0.349,""machine_signature"":""427b089a3cbecfea"",""weighted_score"":0.561293,""diversity_score"":3.327586},{""rank"":6,""recommended"":false,""feasible"":false,""budget_used"":0.585998,""budget_violation"":0.3447,""makespan"":110.97,""deadline_violation"":0.349,""machine_signature"":""b146cade23b11c61"",""weighted_score"":0.585998,""diversity_score"":3.327586}]"
prism_cc_time,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.600000,110.970000,0.561293,0.241327,110.620800,0.320000,0.349000,false,72.684000,18,306.761000,"{""bora011"":3,""diablo03"":1,""h3-standard-88-2"":15,""h4d-standard-192-7"":39}","{""bora011"":0.000494,""diablo03"":0.000173,""h3-standard-88-2"":0.009796,""h4d-standard-192-7"":0.015864}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.561293,""budget_violation"":0.32,""makespan"":110.97,""deadline_violation"":0.349,""machine_signature"":""427b089a3cbecfea"",""weighted_score"":0.566286,""diversity_score"":3.327586},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.585998,""budget_violation"":0.3447,""makespan"":110.97,""deadline_violation"":0.349,""machine_signature"":""b146cade23b11c61"",""weighted_score"":0.566286,""diversity_score"":3.327586},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.437113,""budget_violation"":0.1958,""makespan"":111.68,""deadline_violation"":1.059,""machine_signature"":""51d832a474462a75"",""weighted_score"":0.569909,""diversity_score"":3.293103},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.408465,""budget_violation"":0.1671,""makespan"":114.24,""deadline_violation"":3.619,""machine_signature"":""3c47001337862a44"",""weighted_score"":0.582973,""diversity_score"":3.344828},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.397618,""budget_violation"":0.1563,""makespan"":116.189,""deadline_violation"":5.568,""machine_signature"":""1e328453cd40c21b"",""weighted_score"":0.592919,""diversity_score"":3.413793},{""rank"":6,""recommended"":false,""feasible"":false,""budget_used"":0.326317,""budget_violation"":0.085,""makespan"":195.961,""deadline_violation"":85.34,""machine_signature"":""75aa2ebf2f9fee3f"",""weighted_score"":1,""diversity_score"":3.534483}]"
heft_colocation,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.600000,92.184000,0.201109,0.241327,110.620800,0.000000,0.000000,true,16.598000,17,2.042000,"{""bora011"":5,""diablo03"":3,""h4d-standard-192-7"":50}","{""bora011"":0.000638,""diablo03"":0.000806,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.018972}",[]
prism_cc_cost,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.600000,105.245000,0.127928,0.241327,110.620800,0.000000,0.000000,true,22.172000,11,336.252000,"{""bora011"":27,""diablo03"":13,""h4d-standard-192-7"":18}","{""bora011"":0.015136,""diablo03"":0.004595,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.015837}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.127928,""budget_violation"":0,""makespan"":105.245,""deadline_violation"":0,""machine_signature"":""58ebdc9f71ff2ccb"",""weighted_score"":0.127928,""diversity_score"":2.534483},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""9841521db8b53c8d"",""weighted_score"":0.201109,""diversity_score"":2.137931},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.20111,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""24ac2a5ccf5902c3"",""weighted_score"":0.20111,""diversity_score"":2.172414}]"
prism_cc_time,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.600000,92.184000,0.201109,0.241327,110.620800,0.000000,0.000000,true,16.598000,17,336.252000,"{""bora011"":5,""diablo03"":3,""h4d-standard-192-7"":50}","{""bora011"":0.000638,""diablo03"":0.000806,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.018972}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""9841521db8b53c8d"",""weighted_score"":0.875899,""diversity_score"":2.137931},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.20111,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""24ac2a5ccf5902c3"",""weighted_score"":0.875899,""diversity_score"":2.172414},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.127928,""budget_violation"":0,""makespan"":105.245,""deadline_violation"":0,""machine_signature"":""58ebdc9f71ff2ccb"",""weighted_score"":1,""diversity_score"":2.534483}]"
heft_colocation,hybrid_hetero,4,maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000052|mbackgroundid0000053|mdifffitid0000005|mdifffitid0000006|mdifffitid0000009|mdifffitid0000010|mdifffitid0000027|mdifffitid0000028|mdifffitid0000044|mdifffitid0000045|mdifffitid0000047|mdifffitid0000048|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000003|mprojectid0000021|mprojectid0000022|mprojectid0000023|mprojectid0000039|mprojectid0000040|mviewerid0000038|mviewerid0000058,0.600000,128.904000,0.672297,0.241327,110.620800,0.431000,18.283000,false,154.383000,27,1.959000,"{""bora011"":2,""diablo03"":1,""h3-standard-88-2"":16,""h4d-standard-192-7"":39}","{""bora011"":0.000395,""diablo03"":0.000149,""h3-standard-88-2"":0.011878,""h4d-standard-192-7"":0.015981}",[]
