algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,105.403000,0.536215,0.241327,110.620800,0.294900,0.000000,false,112.096000,15,1.960000,"{""bora011"":2,""diablo03"":1,""h3-standard-88-2"":15,""h4d-standard-192-7"":40}","{""bora011"":0.000483,""diablo03"":0.000183,""h3-standard-88-2"":0.01213,""h4d-standard-192-7"":0.017985}",[]
prism_cc_cost,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,110.587000,0.437007,0.241327,110.620800,0.195700,0.000000,false,112.209000,16,262.983000,"{""bora011"":10,""diablo03"":3,""h3-standard-88-2"":12,""h4d-standard-192-7"":33}","{""bora011"":0.003429,""diablo03"":0.000597,""h3-standard-88-2"":0.011428,""h4d-standard-192-7"":0.017053}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.437007,""budget_violation"":0.1957,""makespan"":110.587,""deadline_violation"":0,""machine_signature"":""b81b5734042ff6e8"",""weighted_score"":0.437007,""diversity_score"":3.431034},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.528168,""budget_violation"":0.2868,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""ad88e1b87303dbd5"",""weighted_score"":0.528168,""diversity_score"":3.310345},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.536215,""budget_violation"":0.2949,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""0cc505b7c969152d"",""weighted_score"":0.536215,""diversity_score"":3.310345}]"
prism_cc_time,hybrid_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,110.587000,0.437007,0.241327,110.620800,0.195700,0.000000,false,112.209000,16,262.983000,"{""bora011"":10,""diablo03"":3,""h3-standard-88-2"":12,""h4d-standard-192-7"":33}","{""bora011"":0.003429,""diablo03"":0.000597,""h3-standard-88-2"":0.011428,""h4d-standard-192-7"":0.017053}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.437007,""budget_violation"":0.1957,""makespan"":110.587,""deadline_violation"":0,""machine_signature"":""b81b5734042ff6e8"",""weighted_score"":1,""diversity_score"":3.431034},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.528168,""budget_violation"":0.2868,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""ad88e1b87303dbd5"",""weighted_score"":0.953123,""diversity_score"":3.310345},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.536215,""budget_violation"":0.2949,""makespan"":105.403,""deadline_violation"":0,""machine_signature"":""0cc505b7c969152d"",""weighted_score"":0.953123,""diversity_score"":3.310345}]"
heft_colocation,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,118.798000,0.622390,0.241327,110.620800,0.381100,8.177000,false,97.044000,21,1.373000,"{""bora011"":2,""diablo03"":1,""h3-standard-88-2"":15,""h4d-standard-192-7"":40}","{""bora011"":0.000429,""diablo03"":0.000162,""h3-standard-88-2"":0.009396,""h4d-standard-192-7"":0.01576}",[]
prism_cc_cost,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,212.631000,0.349116,0.241327,110.620800,0.107800,102.010000,false,97.471000,6,271.903000,"{""bora011"":27,""diablo03"":16,""h3-standard-88-2"":2,""h4d-standard-192-7"":13}","{""bora011"":0.013403,""diablo03"":0.002652,""h3-standard-88-2"":0.012125,""h4d-standard-192-7"":0.005955}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.349116,""budget_violation"":0.1078,""makespan"":212.631,""deadline_violation"":102.01,""machine_signature"":""3276d5f1988cbbc2"",""weighted_score"":0.349116,""diversity_score"":3.534483},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.402571,""budget_violation"":0.1612,""makespan"":128.325,""deadline_violation"":17.704,""machine_signature"":""94c227afc9050262"",""weighted_score"":0.402571,""diversity_score"":3.431034},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.443501,""budget_violation"":0.2022,""makespan"":120.814,""deadline_violation"":10.193,""machine_signature"":""c68d99667e3b8f71"",""weighted_score"":0.443501,""diversity_score"":3.293103},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.462493,""budget_violation"":0.2212,""makespan"":119.508,""deadline_violation"":8.887,""machine_signature"":""36c65bd742ca80d9"",""weighted_score"":0.462493,""diversity_score"":3.275862},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.587278,""budget_violation"":0.346,""makespan"":118.798,""deadline_violation"":8.177,""machine_signature"":""a53ea10ce82fab1c"",""weighted_score"":0.587278,""diversity_score"":3.310345},{""rank"":6,""recommended"":false,""feasible"":false,""budget_used"":0.62239,""budget_violation"":0.3811,""makespan"":118.798,""deadline_violation"":8.177,""machine_signature"":""20407aec79819123"",""weighted_score"":0.62239,""diversity_score"":3.310345}]"
prism_cc_time,hybrid_hetero,2,maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mconcatfitid0000049|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000045|mdifffitid0000046|mdifffitid0000048|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000020|mprojectid0000021|mprojectid0000022|mprojectid0000040|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.800000,118.798000,0.587278,0.241327,110.620800,0.346000,8.177000,false,97.044000,21,271.903000,"{""bora011"":3,""diablo03"":1,""h3-standard-88-2"":14,""h4d-standard-192-7"":40}","{""bora011"":0.000462,""diablo03"":0.000162,""h3-standard-88-2"":0.009391,""h4d-standard-192-7"":0.01576}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.587278,""budget_violation"":0.346,""makespan"":118.798,""deadline_violation"":8.177,""machine_signature"":""a53ea10ce82fab1c"",""weighted_score"":0.558705,""diversity_score"":3.310345},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.62239,""budget_violation"":0.3811,""makespan"":118.798,""deadline_violation"":8.177,""machine_signature"":""20407aec79819123"",""weighted_score"":0.558705,""diversity_score"":3.310345},{""rank"":3,""recommended"":false,""feasible"":false,""budget_used"":0.462493,""budget_violation"":0.2212,""makespan"":119.508,""deadline_violation"":8.887,""machine_signature"":""36c65bd742ca80d9"",""weighted_score"":0.562044,""diversity_score"":3.275862},{""rank"":4,""recommended"":false,""feasible"":false,""budget_used"":0.443501,""budget_violation"":0.2022,""makespan"":120.814,""deadline_violation"":10.193,""machine_signature"":""c68d99667e3b8f71"",""weighted_score"":0.568186,""diversity_score"":3.293103},{""rank"":5,""recommended"":false,""feasible"":false,""budget_used"":0.402571,""budget_violation"":0.1612,""makespan"":128.325,""deadline_violation"":17.704,""machine_signature"":""94c227afc9050262"",""weighted_score"":0.60351,""diversity_score"":3.431034},{""rank"":6,""recommended"":false,""feasible"":false,""budget_used"":0.349116,""budget_violation"":0.1078,""makespan"":212.631,""deadline_violation"":102.01,""machine_signature"":""3276d5f1988cbbc2"",""weighted_score"":1,""diversity_score"":3.534483}]"
heft_colocation,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.800000,92.184000,0.201109,0.241327,110.620800,0.000000,0.000000,true,21.457000,16,1.374000,"{""bora011"":5,""diablo03"":3,""h4d-standard-192-7"":50}","{""bora011"":0.000638,""diablo03"":0.000806,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.019246}",[]
prism_cc_cost,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.800000,98.993000,0.161609,0.241327,110.620800,0.000000,0.000000,true,21.964000,16,340.447000,"{""bora011"":13,""diablo03"":8,""h4d-standard-192-7"":37}","{""bora011"":0.004876,""diablo03"":0.002001,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.0177}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.161609,""budget_violation"":0,""makespan"":98.993,""deadline_violation"":0,""machine_signature"":""de67dbfaf7754067"",""weighted_score"":0.161609,""diversity_score"":2.362069},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""419301bc3c02fad0"",""weighted_score"":0.201109,""diversity_score"":2.137931},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""d8eaaf0bcacaafa0"",""weighted_score"":0.201109,""diversity_score"":2.189655}]"
prism_cc_time,hybrid_hetero,3,maddid0000018|maddid0000037|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000010|mdifffitid0000025|mdifffitid0000027|mdifffitid0000029|mdifffitid0000043|mdifffitid0000044|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000004|mprojectid0000039|mviewerid0000038|mviewerid0000058,0.800000,92.184000,0.201109,0.241327,110.620800,0.000000,0.000000,true,21.457000,16,340.447000,"{""bora011"":5,""diablo03"":3,""h4d-standard-192-7"":50}","{""bora011"":0.000638,""diablo03"":0.000806,""h3-standard-88-2"":0,""h4d-standard-192-7"":0.019246}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""419301bc3c02fad0"",""weighted_score"":0.931217,""diversity_score"":2.137931},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.201109,""budget_violation"":0,""makespan"":92.184,""deadline_violation"":0,""machine_signature"":""d8eaaf0bcacaafa0"",""weighted_score"":0.931217,""diversity_score"":2.189655},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.161609,""budget_violation"":0,""makespan"":98.993,""deadline_violation"":0,""machine_signature"":""de67dbfaf7754067"",""weighted_score"":1,""diversity_score"":2.362069}]"
heft_colocation,hybrid_hetero,4,maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000052|mbackgroundid0000053|mdifffitid0000005|mdifffitid0000006|mdifffitid0000009|mdifffitid0000010|mdifffitid0000027|mdifffitid0000028|mdifffitid0000044|mdifffitid0000045|mdifffitid0000047|mdifffitid0000048|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000003|mprojectid0000021|mprojectid0000022|mprojectid0000023|mprojectid0000039|mprojectid0000040|mviewerid0000038|mviewerid0000058,0.800000,146.017000,0.630141,0.241327,110.620800,0.388800,35.396000,false,204.759000,27,1.963000,"{""bora011"":4,""diablo03"":3,""h3-standard-88-2"":8,""h4d-standard-192-7"":43}","{""bora011"":0.000376,""diablo03"":0.000546,""h3-standard-88-2"":0.010356,""h4d-standard-192-7"":0.015866}",[]
