algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_classic,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,186.826000,1.769962,2.123954,224.191200,0.000000,0.000000,true,0.000000,0,0.915000,"{""h3-standard-88-1"":12,""h3-standard-88-2"":13,""h4d-highmem-192-1"":17,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006818,""h3-standard-88-2"":0.006773,""h4d-highmem-192-1"":0.002871,""h4d-standard-192-1"":0.002885}",[]
prism_cc_cost,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,94.586000,0.206347,2.123954,224.191200,0.000000,0.000000,true,54.092000,22,346.568000,"{""h4d-standard-192-1"":58}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0.020614}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""2c0b747d51ac3d40"",""weighted_score"":0.206347,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.642378,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""7c48708116a80bc0"",""weighted_score"":0.642378,""diversity_score"":1.431034},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.667022,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""e2bcb5f39125edba"",""weighted_score"":0.667022,""diversity_score"":1.431034}]"
prism_cc_time,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,90.960000,0.642378,2.123954,224.191200,0.000000,0.000000,true,21.131000,13,346.568000,"{""h4d-highmem-192-1"":25,""h4d-standard-192-1"":33}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.012048,""h4d-standard-192-1"":0.0075}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.642378,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""7c48708116a80bc0"",""weighted_score"":0.961665,""diversity_score"":1.431034},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.667022,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""e2bcb5f39125edba"",""weighted_score"":0.961665,""diversity_score"":1.431034},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""2c0b747d51ac3d40"",""weighted_score"":1,""diversity_score"":0}]"
heft_classic,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,158.521000,1.778760,2.134512,190.225200,0.000000,0.000000,true,0.000000,0,1.330000,"{""h4d-standard-192-1"":16,""h4d-standard-192-2"":13,""h4d-standard-192-3"":14,""h4d-standard-192-4"":15}","{""h4d-standard-192-1"":0.00261,""h4d-standard-192-2"":0.002721,""h4d-standard-192-3"":0.002641,""h4d-standard-192-4"":0.002551}",[]
prism_cc_cost,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,94.586000,0.206347,2.134512,190.225200,0.000000,0.000000,true,54.092000,22,381.405000,"{""h4d-standard-192-3"":58}","{""h4d-standard-192-1"":0,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0.020614,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""fcd747495791cb2c"",""weighted_score"":0.186926,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":1.097564,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""2cb5712351a4f804"",""weighted_score"":0.994265,""diversity_score"":3.637931},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":1.103895,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""86f0580fdb08b405"",""weighted_score"":1,""diversity_score"":3.689655}]"
prism_cc_time,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,88.371000,1.097564,2.134512,190.225200,0.000000,0.000000,true,5.968000,7,381.405000,"{""h4d-standard-192-1"":21,""h4d-standard-192-2"":7,""h4d-standard-192-3"":15,""h4d-standard-192-4"":15}","{""h4d-standard-192-1"":0.004953,""h4d-standard-192-2"":0.002463,""h4d-standard-192-3"":0.005274,""h4d-standard-192-4"":0.006537}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":1.097564,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""2cb5712351a4f804"",""weighted_score"":0.934293,""diversity_score"":3.637931},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":1.103895,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""86f0580fdb08b405"",""weighted_score"":0.934293,""diversity_score"":3.689655},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""fcd747495791cb2c"",""weighted_score"":1,""diversity_score"":0}]"
heft_classic,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,564.823000,0.000000,0.000000,677.787600,0.000000,0.000000,true,0.000000,0,0.479000,"{""bora005"":15,""bora006"":15,""diablo01"":14,""diablo02"":14}","{""bora005"":0.024118,""bora006"":0.023841,""diablo01"":0.013744,""diablo02"":0.013837}",[]
prism_cc_cost,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.883000,0.000000,0.000000,677.787600,0.000000,0.000000,true,52.843000,2,175.319000,"{""bora005"":24,""bora006"":19,""diablo01"":8,""diablo02"":7}","{""bora005"":0.113785,""bora006"":0.049341,""diablo01"":0.005875,""diablo02"":0.005982}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""b6f7ca95a0c6368e"",""weighted_score"":0,""diversity_score"":3.586207},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""cba693b005eaa6b0"",""weighted_score"":0,""diversity_score"":3.586207}]"
prism_cc_time,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.883000,0.000000,0.000000,677.787600,0.000000,0.000000,true,52.843000,2,175.319000,"{""bora005"":24,""bora006"":19,""diablo01"":8,""diablo02"":7}","{""bora005"":0.113785,""bora006"":0.049341,""diablo01"":0.005875,""diablo02"":0.005982}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""b6f7ca95a0c6368e"",""weighted_score"":1,""diversity_score"":3.586207},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""cba693b005eaa6b0"",""weighted_score"":1,""diversity_score"":3.586207}]"
heft_classic,cluster_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,511.383000,0.000000,0.000000,613.659600,0.000000,0.000000,true,0.000000,0,0.843000,"{""bora001"":16,""bora002"":13,""bora003"":13,""bora004"":16}","{""bora001"":0.023804,""bora002"":0.024524,""bora003"":0.024041,""bora004"":0.023988}",[]
