scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,0.000000,16567.862400,666.616200,666.341500,27.070681,9.687119,0.000000,0.000000,0.000000,0.000000,22251.662500,5216.856767,95.171740,0.000000
cluster_homo,prism_cc_cost,30,1.000000,0.000000,16567.862400,666.616200,666.341500,27.070681,9.687119,0.000000,0.000000,0.000000,0.000000,22251.662500,5216.856767,95.171740,0.000000
cluster_homo,heft_classic,30,1.000000,0.000000,16567.862400,13806.552000,13806.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,280.277000,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,0.000000,17516.293200,661.289400,654.988000,29.936613,10.712679,0.000000,0.000000,0.000000,0.000000,26256.156300,5469.315333,95.469662,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,0.000000,17516.293200,661.289400,654.988000,29.936613,10.712679,0.000000,0.000000,0.000000,0.000000,26256.156300,5469.315333,95.469662,0.000000
cluster_hetero,heft_classic,30,1.000000,0.000000,17516.293200,14596.911000,14596.911000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,308.606000,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,95.511044,9728.864400,138.978500,139.184500,4.184685,1.497470,10.109125,10.098289,0.048845,0.017479,3951.417833,14077.543300,98.285779,87.298903
cloud_homo,prism_cc_cost,30,1.000000,95.511044,9728.864400,154.504533,155.553000,4.996005,1.787797,5.305046,5.313642,0.106976,0.038281,4063.666933,14077.543300,98.094275,93.334745
cloud_homo,heft_classic,30,1.000000,95.511044,9728.864400,8107.387000,8107.387000,0.000000,0.000000,79.592537,79.592537,0.000000,0.000000,0.000000,2364.256000,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,86.463115,10277.494800,172.447100,172.654000,5.568962,1.992827,9.260669,9.253715,0.081265,0.029080,5324.153900,16358.767933,97.986508,87.147348
cloud_hetero,prism_cc_cost,30,1.000000,86.463115,10277.494800,196.560933,197.331000,7.833358,2.803131,4.913860,4.960789,0.211477,0.075676,5460.642267,16358.767933,97.704955,93.180176
cloud_hetero,heft_classic,30,1.000000,86.463115,10277.494800,8564.579000,8564.579000,0.000000,0.000000,72.052596,72.052596,0.000000,0.000000,0.000000,2277.585000,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,50.816216,10975.189200,204.465233,204.428500,7.512440,2.688292,5.598987,5.602068,0.069140,0.024742,7094.708900,17889.182233,97.764428,86.778268
hybrid_homo,prism_cc_cost,30,1.000000,50.816216,10975.189200,2028.017900,2030.638000,76.730214,27.457554,0.000000,0.000000,0.000000,0.000000,37903.709267,17889.182233,77.826155,100.000000
hybrid_homo,heft_classic,30,1.000000,50.816216,10975.189200,9145.991000,9145.991000,0.000000,0.000000,42.346847,42.346847,0.000000,0.000000,0.000000,1306.560000,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,44.569963,11757.048000,248.364400,247.879000,9.713059,3.475773,3.656508,3.662066,0.067802,0.024263,9226.410600,14629.823500,97.465033,90.155231
hybrid_hetero,prism_cc_cost,30,1.000000,44.569963,11757.048000,1992.351733,1961.502000,92.355854,33.049118,0.000000,0.000000,0.000000,0.000000,45911.535100,14629.823500,79.664776,100.000000
hybrid_hetero,heft_classic,30,1.000000,44.569963,11757.048000,9797.540000,9797.540000,0.000000,0.000000,37.141636,37.141636,0.000000,0.000000,0.000000,1261.359000,0.000000,0.000000
