algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,90.960000,0.667022,0.809118,110.678240,0.000000,0.000000,true,21.131000,13,1.980000,"{""h4d-highmem-192-1"":25,""h4d-standard-192-1"":33}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.012038,""h4d-standard-192-1"":0.00751}",[]
prism_cc_cost,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,94.586000,0.206347,0.809118,110.678240,0.000000,0.000000,true,54.092000,22,346.474000,"{""h4d-standard-192-1"":58}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0.020614}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""2c0b747d51ac3d40"",""weighted_score"":0.206347,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.642378,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""6e7bc19ab1143fd4"",""weighted_score"":0.642378,""diversity_score"":1.431034},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.667022,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""e2bcb5f39125edba"",""weighted_score"":0.667022,""diversity_score"":1.431034}]"
prism_cc_time,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,90.960000,0.642378,0.809118,110.678240,0.000000,0.000000,true,21.131000,13,346.474000,"{""h4d-highmem-192-1"":25,""h4d-standard-192-1"":33}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.012048,""h4d-standard-192-1"":0.0075}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.642378,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""6e7bc19ab1143fd4"",""weighted_score"":0.961665,""diversity_score"":1.431034},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.667022,""budget_violation"":0,""makespan"":90.96,""deadline_violation"":0,""machine_signature"":""e2bcb5f39125edba"",""weighted_score"":0.961665,""diversity_score"":1.431034},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""2c0b747d51ac3d40"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,88.371000,1.103895,1.344726,106.047360,0.000000,0.000000,true,5.968000,7,3.214000,"{""h4d-standard-192-1"":18,""h4d-standard-192-2"":11,""h4d-standard-192-3"":17,""h4d-standard-192-4"":12}","{""h4d-standard-192-1"":0.004882,""h4d-standard-192-2"":0.002542,""h4d-standard-192-3"":0.005326,""h4d-standard-192-4"":0.006477}",[]
prism_cc_cost,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,94.586000,0.206347,1.344726,106.047360,0.000000,0.000000,true,54.092000,22,346.755000,"{""h4d-standard-192-3"":58}","{""h4d-standard-192-1"":0,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0.020614,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""fcd747495791cb2c"",""weighted_score"":0.186926,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":1.097564,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""ccbc4f5c1dd97af1"",""weighted_score"":0.994265,""diversity_score"":3.637931},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":1.103895,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""86f0580fdb08b405"",""weighted_score"":1,""diversity_score"":3.689655}]"
prism_cc_time,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,88.371000,1.097564,1.344726,106.047360,0.000000,0.000000,true,5.968000,7,346.755000,"{""h4d-standard-192-1"":21,""h4d-standard-192-2"":7,""h4d-standard-192-3"":15,""h4d-standard-192-4"":15}","{""h4d-standard-192-1"":0.004953,""h4d-standard-192-2"":0.002463,""h4d-standard-192-3"":0.005274,""h4d-standard-192-4"":0.006537}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":1.097564,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""ccbc4f5c1dd97af1"",""weighted_score"":0.934293,""diversity_score"":3.637931},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":1.103895,""budget_violation"":0,""makespan"":88.371,""deadline_violation"":0,""machine_signature"":""86f0580fdb08b405"",""weighted_score"":0.934293,""diversity_score"":3.689655},{""rank"":3,""recommended"":false,""feasible"":true,""budget_used"":0.206347,""budget_violation"":0,""makespan"":94.586,""deadline_violation"":0,""machine_signature"":""fcd747495791cb2c"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.883000,0.000000,0.000000,346.902440,0.000000,0.000000,true,54.111000,6,0.971000,"{""bora005"":24,""bora006"":22,""diablo01"":6,""diablo02"":6}","{""bora005"":0.113955,""bora006"":0.049825,""diablo01"":0.005631,""diablo02"":0.005855}",[]
prism_cc_cost,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.883000,0.000000,0.000000,346.902440,0.000000,0.000000,true,54.111000,6,205.065000,"{""bora005"":24,""bora006"":22,""diablo01"":6,""diablo02"":6}","{""bora005"":0.113955,""bora006"":0.049825,""diablo01"":0.005631,""diablo02"":0.005855}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""cba693b005eaa6b0"",""weighted_score"":0,""diversity_score"":3.586207},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":282.73,""deadline_violation"":0,""machine_signature"":""f0a6f0529b98fd28"",""weighted_score"":0,""diversity_score"":3.603448}]"
prism_cc_time,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.883000,0.000000,0.000000,346.902440,0.000000,0.000000,true,54.111000,6,205.065000,"{""bora005"":24,""bora006"":22,""diablo01"":6,""diablo02"":6}","{""bora005"":0.113955,""bora006"":0.049825,""diablo01"":0.005631,""diablo02"":0.005855}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":281.883,""deadline_violation"":0,""machine_signature"":""cba693b005eaa6b0"",""weighted_score"":0.997004,""diversity_score"":3.586207},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":282.73,""deadline_violation"":0,""machine_signature"":""f0a6f0529b98fd28"",""weighted_score"":1,""diversity_score"":3.603448}]"
heft_colocation,cluster_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.200000,281.326000,0.000000,0.000000,337.591200,0.000000,0.000000,true,30.781000,3,1.381000,"{""bora001"":17,""bora002"":19,""bora003"":9,""bora004"":13}","{""bora001"":0.045512,""bora002"":0.025215,""bora003"":0.047511,""bora004"":0.059953}",[]
