scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.051200,170.508833,0.000000,0.000000
cluster_homo,prism_cc_cost,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.051200,170.508833,0.000000,0.000000
cluster_homo,heft_colocation,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.199700,0.870767,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,65.926867,186.965867,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,65.926867,186.965867,0.000000,0.000000
cluster_hetero,heft_colocation,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,69.216167,1.108033,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,1.344726,106.047360,88.372800,88.371000,0.006850,0.002451,1.113018,1.111322,0.013827,0.004948,6.040200,399.014533,0.000000,0.677081
cloud_homo,prism_cc_cost,30,1.000000,1.344726,106.047360,96.846367,96.407000,5.456409,1.952551,0.292409,0.212413,0.241601,0.086456,51.664033,399.014533,-9.588433,73.906144
cloud_homo,heft_colocation,30,1.000000,1.344726,106.047360,88.372800,88.371000,0.006850,0.002451,1.120605,1.121143,0.010282,0.003679,6.034933,3.276767,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,0.809118,110.678240,92.231867,90.960000,1.839202,0.658150,0.641506,0.657466,0.044680,0.015989,23.878833,360.389667,0.000000,4.858452
cloud_hetero,prism_cc_cost,30,1.000000,0.809118,110.678240,99.167533,98.895000,4.781788,1.711141,0.253086,0.215845,0.110433,0.039518,54.412433,360.389667,-7.519816,62.464849
cloud_hetero,heft_colocation,30,1.000000,0.809118,110.678240,92.231867,90.960000,1.839202,0.658150,0.674265,0.671814,0.011903,0.004260,23.100600,2.037833,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,0.747528,110.602640,92.168867,90.904000,1.829209,0.654574,0.583256,0.605075,0.050519,0.018078,23.448967,386.807000,0.000000,6.370450
hybrid_homo,prism_cc_cost,30,1.000000,0.747528,110.602640,101.354233,100.452000,4.853807,1.736912,0.343146,0.347352,0.089557,0.032048,28.650167,386.807000,-9.965802,44.915094
hybrid_homo,heft_colocation,30,1.000000,0.747528,110.602640,92.168867,90.904000,1.829209,0.654574,0.622940,0.619345,0.013375,0.004786,23.111333,1.813733,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,0.507908,117.111320,97.616433,95.314000,6.205303,2.220539,0.385964,0.427226,0.108560,0.038848,48.960400,332.503267,-0.024250,8.810929
hybrid_hetero,prism_cc_cost,30,1.000000,0.507908,117.111320,104.723633,104.024500,5.043803,1.804902,0.262826,0.290480,0.088097,0.031525,49.438067,332.503267,-7.306757,37.903875
hybrid_hetero,heft_colocation,30,0.733333,0.507908,117.111320,97.592767,95.314000,6.182011,2.212204,0.423257,0.476074,0.127897,0.045767,48.997067,1.796400,0.000000,0.000000
