scenario_id,algorithm,runs,feasible_ratio,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,305.637133,311.833000,9.842707,3.522167,0.000000,0.000000,0.000000,0.000000,77.811267,685.043033,43.200681,0.000000
cluster_homo,prism_cc_cost,30,1.000000,305.637133,311.833000,9.842707,3.522167,0.000000,0.000000,0.000000,0.000000,77.811267,685.838100,43.200681,0.000000
cluster_homo,heft_classic,30,0.000000,538.100000,538.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.581367,0.000000,0.000000
cluster_hetero,prism_cc_time,30,0.833333,322.572500,324.986000,19.084012,6.829126,0.000000,0.000000,0.000000,0.000000,81.659333,747.759433,45.511310,0.000000
cluster_hetero,prism_cc_cost,30,0.833333,322.572500,324.986000,19.084012,6.829126,0.000000,0.000000,0.000000,0.000000,81.659333,742.318733,45.511310,0.000000
cluster_hetero,heft_classic,30,0.000000,591.999000,591.999000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.520433,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,107.662633,106.801000,5.590101,2.000392,0.841328,0.853216,0.131317,0.046991,20.386533,1056.044767,41.357027,55.964050
cloud_homo,prism_cc_cost,30,1.000000,124.526767,121.397000,11.767948,4.211106,0.409893,0.426384,0.102874,0.036813,70.566000,1055.447967,32.171269,78.545816
cloud_homo,heft_classic,30,0.000000,183.590000,183.590000,0.000000,0.000000,1.910549,1.910549,0.000000,0.000000,0.000000,1.022333,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,119.816233,120.700000,6.745856,2.413974,0.661651,0.587086,0.137046,0.049041,45.635300,1011.981200,44.146043,66.078069
cloud_hetero,prism_cc_cost,30,1.000000,157.625500,161.854000,14.884752,5.326440,0.402911,0.397153,0.075649,0.027071,109.203467,1010.952967,26.520742,79.343302
cloud_hetero,heft_classic,30,0.000000,214.517000,214.517000,0.000000,0.000000,1.950512,1.950512,0.000000,0.000000,0.000000,1.011767,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,117.943433,119.373000,6.154547,2.202376,0.506776,0.556698,0.109733,0.039267,39.509100,978.084733,52.857324,56.300043
hybrid_homo,prism_cc_cost,30,1.000000,286.272433,293.549000,42.716724,15.285983,0.091673,0.136439,0.072866,0.026075,89.532333,974.759800,-14.424757,92.094884
hybrid_homo,heft_classic,30,0.000000,250.184000,250.184000,0.000000,0.000000,1.159671,1.159671,0.000000,0.000000,0.000000,0.777533,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,138.063200,145.165000,12.393238,4.434863,0.410396,0.319517,0.135801,0.048596,89.007833,871.226067,51.788020,60.843966
hybrid_hetero,prism_cc_cost,30,1.000000,289.306167,300.189000,57.422956,20.548541,0.114232,0.136441,0.066443,0.023776,80.050267,869.882633,-1.026364,89.101113
hybrid_hetero,heft_classic,30,0.000000,286.367000,286.367000,0.000000,0.000000,1.048103,1.048103,0.000000,0.000000,0.000000,0.849400,0.000000,0.000000
