scenario_id,algorithm,runs,feasible_ratio,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,740.822867,741.970500,25.551844,9.143610,0.000000,0.000000,0.000000,0.000000,28019.692500,83222.129767,95.480871,0.000000
cluster_homo,prism_cc_cost,30,1.000000,743.357333,744.497500,25.639256,9.174890,0.000000,0.000000,0.000000,0.000000,28075.548900,83222.129767,95.465410,0.000000
cluster_homo,heft_classic,30,0.000000,16393.045000,16393.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,246.823000,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,735.837200,731.608000,27.301335,9.769657,0.000000,0.000000,0.000000,0.000000,36461.973633,87020.099300,95.710685,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,738.351900,733.500500,27.190899,9.730138,0.000000,0.000000,0.000000,0.000000,36094.364667,87020.099300,95.696026,0.000000
cluster_hetero,heft_classic,30,0.000000,17155.120000,17155.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,251.171000,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,333.423133,334.702000,20.458092,7.320834,11.228067,11.158493,0.302470,0.108238,53623.178867,113194.062567,96.881984,89.015776
cloud_homo,prism_cc_cost,30,1.000000,511.779867,432.233000,208.531666,74.622098,10.531872,10.699756,0.442756,0.158438,77670.096900,113194.062567,95.214076,89.696852
cloud_homo,heft_classic,30,0.000000,10693.440000,10693.440000,0.000000,0.000000,102.219942,102.219942,0.000000,0.000000,0.000000,2000.878000,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,346.909367,344.595500,8.017194,2.868916,10.361470,10.392174,0.172715,0.061805,38070.318333,102836.036467,96.879418,88.593980
cloud_hetero,prism_cc_cost,30,1.000000,786.551867,704.943000,260.825331,93.335146,8.333798,8.207445,0.581710,0.208162,68353.648500,102836.036467,92.924665,90.826064
cloud_hetero,heft_classic,30,0.000000,11116.815000,11116.815000,0.000000,0.000000,90.842113,90.842113,0.000000,0.000000,0.000000,1774.392000,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,357.164300,355.276500,15.438954,5.524759,6.000857,6.009977,0.099910,0.035752,39230.308733,92510.151267,96.965886,88.837825
hybrid_homo,prism_cc_cost,30,1.000000,1737.885700,1736.661000,68.305796,24.442915,0.000000,0.000000,0.000000,0.000000,53860.360500,92510.151267,85.236644,100.000000
hybrid_homo,heft_classic,30,0.000000,11771.617000,11771.617000,0.000000,0.000000,53.760648,53.760648,0.000000,0.000000,0.000000,1076.216000,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,352.290833,350.738500,10.171330,3.639764,4.074940,4.047896,0.070158,0.025106,29752.558600,92014.727200,97.153184,91.183070
hybrid_hetero,prism_cc_cost,30,1.000000,1605.062033,1605.503500,72.421181,25.915587,0.000000,0.000000,0.000000,0.000000,73987.879100,92014.727200,87.029706,100.000000
hybrid_hetero,heft_classic,30,1.000000,12374.909000,12374.909000,0.000000,0.000000,46.217220,46.217220,0.000000,0.000000,0.000000,1065.087000,0.000000,0.000000
