scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
cloud_hetero,heft_classic,1,171.648,171.648,0,0.0,76.415583,76.415583,0,0.0
cloud_hetero,prism_cc_cost,1,171.436,171.436,0,0.0,67.85149,67.85149,0,0.0
cloud_hetero,prism_cc_time,1,171.436,171.436,0,0.0,67.85149,67.85149,0,0.0
cloud_homo,heft_classic,1,162.61,162.61,0,0.0,81.075109,81.075109,0,0.0
cloud_homo,prism_cc_cost,1,127.682,127.682,0,0.0,54.649286,54.649286,0,0.0
cloud_homo,prism_cc_time,1,127.682,127.682,0,0.0,54.649286,54.649286,0,0.0
cluster_hetero,heft_classic,1,477.438,477.438,0,0.0,0.0,0.0,0,0.0
cluster_hetero,prism_cc_cost,1,477.438,477.438,0,0.0,0.0,0.0,0,0.0
cluster_hetero,prism_cc_time,1,477.438,477.438,0,0.0,0.0,0.0,0,0.0
cluster_homo,heft_classic,1,527.462,527.462,0,0.0,0.0,0.0,0,0.0
cluster_homo,prism_cc_cost,1,527.462,527.462,0,0.0,0.0,0.0,0,0.0
cluster_homo,prism_cc_time,1,527.462,527.462,0,0.0,0.0,0.0,0,0.0
hybrid_hetero,heft_classic,1,163.146,163.146,0,0.0,30.038679,30.038679,0,0.0
hybrid_hetero,prism_cc_cost,1,156.235,156.235,0,0.0,29.781524,29.781524,0,0.0
hybrid_hetero,prism_cc_time,1,156.235,156.235,0,0.0,29.781524,29.781524,0,0.0
hybrid_homo,heft_classic,1,190.382,190.382,0,0.0,44.534114,44.534114,0,0.0
hybrid_homo,prism_cc_cost,1,189.0,189.0,0,0.0,3.96691,3.96691,0,0.0
hybrid_homo,prism_cc_time,1,183.303,183.303,0,0.0,36.784367,36.784367,0,0.0
hybrid_raspberry_500mbps,heft_classic,1,1226.179,1226.179,0,0.0,279.420966,279.420966,0,0.0
hybrid_raspberry_500mbps,prism_cc_cost,1,1016.872,1016.872,0,0.0,5.130201,5.130201,0,0.0
hybrid_raspberry_500mbps,prism_cc_time,1,483.697,483.697,0,0.0,214.004125,214.004125,0,0.0
