scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
cluster_homo,prism_cc_time,makespan,490.855,490.855,0.0,Empate
cluster_homo,prism_cc_cost,makespan,490.855,490.855,0.0,Empate
cluster_hetero,prism_cc_time,makespan,438.461,438.461,0.0,Empate
cluster_hetero,prism_cc_cost,makespan,438.461,438.461,0.0,Empate
cloud_homo,prism_cc_time,makespan,118.248,118.248,0.0,Empate
cloud_homo,prism_cc_cost,makespan,121.197,118.248,-2.49391110209052,HEFT
cloud_hetero,prism_cc_time,makespan,132.989,132.989,0.0,Empate
cloud_hetero,prism_cc_cost,makespan,140.255,132.989,-5.4636097722367944,HEFT
hybrid_homo,prism_cc_time,makespan,142.665,142.665,0.0,Empate
hybrid_homo,prism_cc_cost,makespan,160.832,142.665,-12.734027266673678,HEFT
hybrid_hetero,prism_cc_time,makespan,156.499,156.499,0.0,Empate
hybrid_hetero,prism_cc_cost,makespan,172.657,156.499,-10.324666611288261,HEFT
hybrid_raspberry_500mbps,prism_cc_time,makespan,395.759,397.273,0.3810981365459042,PRISM-CC
hybrid_raspberry_500mbps,prism_cc_cost,makespan,469.914,397.273,-18.28490735589883,HEFT
cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cloud_homo,prism_cc_time,budget_used,9.461985,9.461985,0.0,Empate
cloud_homo,prism_cc_cost,budget_used,6.138774,9.461985,35.1217107192624,PRISM-CC
cloud_hetero,prism_cc_time,budget_used,8.459216,8.459216,0.0,Empate
cloud_hetero,prism_cc_cost,budget_used,6.651905,8.459216,21.36499410820104,PRISM-CC
hybrid_homo,prism_cc_time,budget_used,5.313585,5.313585,0.0,Empate
hybrid_homo,prism_cc_cost,budget_used,3.604677,5.313585,32.16111156592018,PRISM-CC
hybrid_hetero,prism_cc_time,budget_used,3.155871,3.155871,0.0,Empate
hybrid_hetero,prism_cc_cost,budget_used,0.4422,3.155871,85.98802042288801,PRISM-CC
hybrid_raspberry_500mbps,prism_cc_time,budget_used,27.251006,27.703656,1.63389987227678,PRISM-CC
hybrid_raspberry_500mbps,prism_cc_cost,budget_used,12.607212,27.703656,54.49260559689306,PRISM-CC
