algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,20.022000,0.049182,0.059018,24.026400,0.000000,0.000000,true,0.001000,3,0.869000,"{""h4d-highmem-192-1"":8}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.003842,""h4d-standard-192-1"":0}",[]
prism_cc_cost,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,20.022000,0.043680,0.059018,24.026400,0.000000,0.000000,true,0.001000,3,50.376000,"{""h4d-standard-192-1"":8}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0.003842}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.04368,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""557770885f33ad79"",""weighted_score"":0.04368,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.049182,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""7680615ee7c4c7e6"",""weighted_score"":0.049182,""diversity_score"":0}]"
prism_cc_time,real_network_stress_cloud_hetero,1,t0|t1|t5|t7,0.000000,20.022000,0.049182,0.059018,24.026400,0.000000,0.000000,true,0.001000,3,50.376000,"{""h4d-highmem-192-1"":8}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.003842,""h4d-standard-192-1"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.04368,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""557770885f33ad79"",""weighted_score"":1,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.049182,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""7680615ee7c4c7e6"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,20.022000,0.043680,0.052416,24.026400,0.000000,0.000000,true,0.001000,3,0.444000,"{""h4d-standard-192-1"":8}","{""h4d-standard-192-1"":0.003842,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0,""h4d-standard-192-4"":0}",[]
prism_cc_cost,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,20.022000,0.043680,0.052416,24.026400,0.000000,0.000000,true,0.001000,3,48.849000,"{""h4d-standard-192-1"":8}","{""h4d-standard-192-1"":0.003842,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.04368,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""f0d2b2250f0dd76e"",""weighted_score"":0.04368,""diversity_score"":0}]"
prism_cc_time,real_network_stress_cloud_homo,1,t0|t1|t5|t7,0.000000,20.022000,0.043680,0.052416,24.026400,0.000000,0.000000,true,0.001000,3,48.849000,"{""h4d-standard-192-1"":8}","{""h4d-standard-192-1"":0.003842,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.04368,""budget_violation"":0,""makespan"":20.022,""deadline_violation"":0,""machine_signature"":""f0d2b2250f0dd76e"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,0.173000,"{""bora005"":8}","{""bora005"":0.051146,""bora006"":0,""diablo01"":0,""diablo02"":0}",[]
prism_cc_cost,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,31.251000,"{""bora005"":8}","{""bora005"":0.051146,""bora006"":0,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""a3e0b23abe82fd62"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,real_network_stress_cluster_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,31.251000,"{""bora005"":8}","{""bora005"":0.051146,""bora006"":0,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""a3e0b23abe82fd62"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,0.159000,"{""bora001"":8}","{""bora001"":0.051146,""bora002"":0,""bora003"":0,""bora004"":0}",[]
