scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
real_network_stress_cluster_hetero,heft_classic,Cluster heterogêneo rede real heterogênea · HEFT coalocado,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,True,1,,,
real_network_stress_cluster_hetero,prism_cc_cost,Cluster heterogêneo rede real heterogênea · PRISM-CC - Cost,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_hetero,prism_cc_time,Cluster heterogêneo rede real heterogênea · PRISM-CC - Time,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_homo,heft_classic,Cluster homogêneo rede real heterogênea · HEFT coalocado,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_homo,prism_cc_cost,Cluster homogêneo rede real heterogênea · PRISM-CC - Cost,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_homo,prism_cc_time,Cluster homogêneo rede real heterogênea · PRISM-CC - Time,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_hetero,heft_classic,Híbrido heterogêneo rede real heterogênea · HEFT coalocado,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_cost,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Cost,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_time,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Time,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,heft_classic,Híbrido homogêneo rede real heterogênea · HEFT coalocado,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_cost,Híbrido homogêneo rede real heterogênea · PRISM-CC - Cost,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_time,Híbrido homogêneo rede real heterogênea · PRISM-CC - Time,44.429,44.429,0.0,0.0,,100.0,0.0,53.3148,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_cost,Cloud heterogênea rede real heterogênea · PRISM-CC - Cost,20.022,20.022,0.04368,0.04368,,100.0,0.059018,24.0264,74.01131858077196,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_homo,heft_classic,Cloud homogênea rede real heterogênea · HEFT coalocado,20.022,20.022,0.04368,0.04368,,100.0,0.052416,24.0264,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_homo,prism_cc_cost,Cloud homogênea rede real heterogênea · PRISM-CC - Cost,20.022,20.022,0.04368,0.04368,,100.0,0.052416,24.0264,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_homo,prism_cc_time,Cloud homogênea rede real heterogênea · PRISM-CC - Time,20.022,20.022,0.04368,0.04368,,100.0,0.052416,24.0264,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,heft_classic,Fog híbrido rede real heterogênea · HEFT coalocado,26.25,26.25,0.00474,0.00474,,100.0,0.005688,31.5,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,Fog híbrido rede real heterogênea · PRISM-CC - Cost,26.25,26.25,0.00474,0.00474,,100.0,0.005688,31.5,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,Fog híbrido rede real heterogênea · PRISM-CC - Time,26.25,26.25,0.00474,0.00474,,100.0,0.005688,31.5,83.33333333333333,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_hetero,heft_classic,Cloud heterogênea rede real heterogênea · HEFT coalocado,20.022,20.022,0.049182,0.049182,,100.0,0.059018,24.0264,83.33389813277304,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_time,Cloud heterogênea rede real heterogênea · PRISM-CC - Time,20.022,20.022,0.049182,0.049182,,100.0,0.059018,24.0264,83.33389813277304,83.33333333333333,0,0,True,False,,,,
