scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
real_network_stress_cloud_hetero,heft_classic,1,37.424,37.424,0,0.0,0.343076,0.343076,0,0.0,1.0,0.00051375,0.0005175472804488494,2.0,0.001,0.0,0.000125,0.0,,
real_network_stress_cloud_hetero,prism_cc_cost,1,44.664,44.664,0,0.0,0.061085,0.061085,0,0.0,1.0,0.0018445,0.0031947677145607936,1.0,0.0,2.0,0.0,0.0,-19.345874305258665,82.19490725087152
real_network_stress_cloud_hetero,prism_cc_time,1,37.424,37.424,0,0.0,0.343076,0.343076,0,0.0,1.0,0.00051375,0.0005175472804488494,2.0,0.001,0.0,0.000125,0.0,0.0,0.0
real_network_stress_cloud_homo,heft_classic,1,57.602,57.602,0,0.0,0.427732,0.427732,0,0.0,1.0,0.00033375,0.00025874734298152706,3.0,0.001,0.0,0.000125,0.0,,
real_network_stress_cloud_homo,prism_cc_cost,1,37.512,37.512,0,0.0,0.081835,0.081835,0,0.0,1.0,0.00051275,0.0008881090515809418,1.0,0.001,2.0,0.000125,0.0,34.87726120620811,80.86769285440415
real_network_stress_cloud_homo,prism_cc_time,1,37.512,37.512,0,0.0,0.081835,0.081835,0,0.0,1.0,0.00051275,0.0008881090515809418,1.0,0.001,2.0,0.000125,0.0,34.87726120620811,80.86769285440415
real_network_stress_cluster_hetero,heft_classic,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,,
real_network_stress_cluster_hetero,prism_cc_cost,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,0.0,0.0
real_network_stress_cluster_hetero,prism_cc_time,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,0.0,0.0
real_network_stress_cluster_homo,heft_classic,1,126.663,126.663,0,0.0,0.0,0.0,0,0.0,1.0,0.004485,0.0034770432122710236,3.0,0.001,0.0,0.000125,0.0,,
real_network_stress_cluster_homo,prism_cc_cost,1,126.101,126.101,0,0.0,0.0,0.0,0,0.0,1.0,0.004505,0.0030500677861319742,3.0,0.001,0.0,0.000125,0.0,0.4436970543884146,0.0
real_network_stress_cluster_homo,prism_cc_time,1,126.101,126.101,0,0.0,0.0,0.0,0,0.0,1.0,0.004505,0.0030500677861319742,3.0,0.001,0.0,0.000125,0.0,0.4436970543884146,0.0
real_network_stress_hybrid_hetero,heft_classic,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.016040522528895373,1.0,0.001,2.0,0.000125,0.0,,
real_network_stress_hybrid_hetero,prism_cc_cost,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.016040522528895373,1.0,0.001,2.0,0.000125,0.0,0.0,0.0
real_network_stress_hybrid_hetero,prism_cc_time,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.016040522528895373,1.0,0.001,2.0,0.000125,0.0,0.0,0.0
real_network_stress_hybrid_homo,heft_classic,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,,
real_network_stress_hybrid_homo,prism_cc_cost,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,0.0,0.0
real_network_stress_hybrid_homo,prism_cc_time,1,61.343,61.343,0,0.0,0.0,0.0,0,0.0,1.0,0.009261,0.011342362253957504,2.0,0.001,0.0,0.000125,0.0,0.0,0.0
real_network_stress_hybrid_raspberry_500mbps,heft_classic,1,42.978,42.978,0,0.0,0.007759,0.007759,0,0.0,1.0,0.0025102857142857145,0.009050963858921892,1.0,0.001,2.0,0.000125,0.0,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,1,42.978,42.978,0,0.0,0.007759,0.007759,0,0.0,1.0,0.0025102857142857145,0.009050963858921892,1.0,0.001,2.0,0.000125,0.0,0.0,0.0
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,1,42.978,42.978,0,0.0,0.007759,0.007759,0,0.0,1.0,0.0025102857142857145,0.009050963858921892,1.0,0.001,2.0,0.000125,0.0,0.0,0.0
