scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
real_network_stress_cluster_homo,prism_cc_cost,Cluster homogêneo rede real heterogênea · PRISM-CC - Cost,126.101,126.101,0.0,0.0,,100.0,0.0,151.9956,0.0,82.96358578800965,0,0,True,True,1,,,
real_network_stress_cloud_homo,prism_cc_cost,Cloud homogênea rede real heterogênea · PRISM-CC - Cost,37.512,37.512,0.081835,0.081835,,100.0,0.513278,69.1224,15.943601712911912,54.268948994826566,0,0,True,True,2,15.943601712911912,28.694636793183086,1.799758756513891
real_network_stress_cluster_hetero,heft_classic,Cluster heterogêneo rede real heterogênea · HEFT coalocado,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_hetero,prism_cc_cost,Cluster heterogêneo rede real heterogênea · PRISM-CC - Cost,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_hetero,prism_cc_time,Cluster heterogêneo rede real heterogênea · PRISM-CC - Time,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_homo,heft_classic,Cluster homogêneo rede real heterogênea · HEFT coalocado,126.663,126.663,0.0,0.0,,100.0,0.0,151.9956,0.0,83.33333333333333,0,0,True,False,,,,
real_network_stress_cluster_homo,prism_cc_time,Cluster homogêneo rede real heterogênea · PRISM-CC - Time,126.101,126.101,0.0,0.0,,100.0,0.0,151.9956,0.0,82.96358578800965,0,0,True,False,,,,
real_network_stress_hybrid_hetero,heft_classic,Híbrido heterogêneo rede real heterogênea · HEFT coalocado,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_cost,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Cost,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_time,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Time,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,heft_classic,Híbrido homogêneo rede real heterogênea · HEFT coalocado,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_cost,Híbrido homogêneo rede real heterogênea · PRISM-CC - Cost,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_time,Híbrido homogêneo rede real heterogênea · PRISM-CC - Time,61.343,61.343,0.0,0.0,,100.0,0.0,73.6116,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_cost,Cloud heterogênea rede real heterogênea · PRISM-CC - Cost,44.664,44.664,0.061085,0.061085,,100.0,0.411691,44.9088,14.837584499053904,99.45489525438222,0,0,True,False,,,,
real_network_stress_cloud_homo,prism_cc_time,Cloud homogênea rede real heterogênea · PRISM-CC - Time,37.512,37.512,0.081835,0.081835,,100.0,0.513278,69.1224,15.943601712911912,54.268948994826566,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,heft_classic,Fog híbrido rede real heterogênea · HEFT coalocado,42.978,42.978,0.007759,0.007759,,100.0,0.009311,51.5736,83.33154333583934,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,Fog híbrido rede real heterogênea · PRISM-CC - Cost,42.978,42.978,0.007759,0.007759,,100.0,0.009311,51.5736,83.33154333583934,83.33333333333334,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,Fog híbrido rede real heterogênea · PRISM-CC - Time,42.978,42.978,0.007759,0.007759,,100.0,0.009311,51.5736,83.33154333583934,83.33333333333334,0,0,True,False,,,,
real_network_stress_cloud_hetero,heft_classic,Cloud heterogênea rede real heterogênea · HEFT coalocado,37.424,37.424,0.343076,0.343076,,100.0,0.411691,44.9088,83.33337381677035,83.33333333333334,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_time,Cloud heterogênea rede real heterogênea · PRISM-CC - Time,37.424,37.424,0.343076,0.343076,,100.0,0.411691,44.9088,83.33337381677035,83.33333333333334,0,0,True,False,,,,
real_network_stress_cloud_homo,heft_classic,Cloud homogênea rede real heterogênea · HEFT coalocado,57.602,57.602,0.427732,0.427732,,100.0,0.513278,69.1224,83.33339827539852,83.33333333333333,0,0,True,False,,,,
