scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,0.000000,0.000000,533.821200,667.243567,666.981000,27.054604,9.681366,0.000000,0.000000,0.000000,0.000000,22250.074433,4458.401800,0.004935,0.000000
cluster_homo,prism_cc_cost,30,0.000000,0.000000,533.821200,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,4458.401800,0.000000,0.000000
cluster_homo,heft_colocation,30,0.000000,0.000000,533.821200,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,838.489467,0.000000,0.000000
cluster_hetero,prism_cc_time,30,0.000000,0.000000,529.168667,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,4870.778800,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,0.000000,0.000000,529.168667,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,4870.778800,0.000000,0.000000
cluster_hetero,heft_colocation,30,0.000000,0.000000,529.168667,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,688.452000,0.000000,0.000000
cloud_homo,prism_cc_time,30,0.000000,12.135283,111.167707,138.948467,139.015500,4.189719,1.499272,10.111880,10.105851,0.050791,0.018175,3949.029600,15133.395800,0.008036,0.008459
cloud_homo,prism_cc_cost,30,0.000000,12.135283,111.167707,138.959633,139.015500,4.183881,1.497183,10.112735,10.100269,0.050619,0.018114,3947.266700,15133.395800,0.000000,0.000000
cloud_homo,heft_colocation,30,0.000000,12.135283,111.167707,138.959633,139.015500,4.183881,1.497183,10.112735,10.100269,0.050619,0.018114,3947.266700,4189.506767,0.000000,0.000000
cloud_hetero,prism_cc_time,30,0.000000,11.122874,137.949147,172.426367,172.639000,5.564943,1.991389,9.267947,9.268138,0.082051,0.029361,5323.059467,16710.238567,0.005838,0.012027
cloud_hetero,prism_cc_cost,30,0.000000,11.122874,137.949147,172.436433,172.647500,5.564823,1.991346,9.269062,9.268804,0.081030,0.028996,5321.910633,16710.238567,0.000000,0.000000
cloud_hetero,heft_colocation,30,0.000000,11.122874,137.949147,172.436433,172.647500,5.564823,1.991346,9.269062,9.268804,0.081030,0.028996,5321.910633,4216.308467,0.000000,0.000000
hybrid_homo,prism_cc_time,30,0.000000,6.728573,163.771813,204.691200,204.555500,7.457225,2.668534,5.606590,5.621106,0.056531,0.020229,7090.663700,13679.420567,0.011512,0.009878
hybrid_homo,prism_cc_cost,30,0.000000,6.728573,163.771813,204.714767,204.581500,7.450471,2.666117,5.607144,5.622996,0.056717,0.020296,7089.462900,13679.420567,0.000000,0.000000
hybrid_homo,heft_colocation,30,0.000000,6.728573,163.771813,204.714767,204.581500,7.450471,2.666117,5.607144,5.622996,0.056717,0.020296,7089.462900,3687.774933,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,0.000000,4.357210,198.794827,248.487367,247.980500,9.730931,3.482169,3.630812,3.632587,0.073754,0.026392,9223.193433,13230.807467,0.002482,0.005406
hybrid_hetero,prism_cc_cost,30,0.000000,4.357210,198.794827,248.493533,247.980500,9.731023,3.482202,3.631008,3.632587,0.073826,0.026418,9222.806200,13230.807467,0.000000,0.000000
hybrid_hetero,heft_colocation,30,0.000000,4.357210,198.794827,248.493533,247.980500,9.731023,3.482202,3.631008,3.632587,0.073826,0.026418,9222.806200,3382.141000,0.000000,0.000000
hybrid_raspberry_500mbps,prism_cc_time,30,0.000000,35.326126,382.260373,477.529633,477.548500,16.017217,5.731687,29.264092,29.271697,0.286867,0.102654,13835.048800,40114.567867,0.061912,0.592241
hybrid_raspberry_500mbps,prism_cc_cost,30,0.000000,35.326126,382.260373,477.825467,478.022000,15.964158,5.712701,29.438439,29.453647,0.290323,0.103891,13834.396033,40114.567867,0.000000,0.000000
hybrid_raspberry_500mbps,heft_colocation,30,0.000000,35.326126,382.260373,477.825467,478.022000,15.964158,5.712701,29.438439,29.453647,0.290323,0.103891,13834.396033,4438.830700,0.000000,0.000000
