scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,0.000000,800.731800,667.227100,666.734000,27.053496,9.680969,0.000000,0.000000,0.000000,0.000000,22250.080967,5240.544633,0.007403,0.000000
cluster_homo,prism_cc_cost,30,1.000000,0.000000,800.731800,667.227100,666.734000,27.053496,9.680969,0.000000,0.000000,0.000000,0.000000,22250.080967,5240.544633,0.007403,0.000000
cluster_homo,heft_colocation,30,1.000000,0.000000,800.731800,667.276500,666.981000,27.075315,9.688777,0.000000,0.000000,0.000000,0.000000,22250.090400,846.489000,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,0.000000,793.753000,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,6066.779900,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,0.000000,793.753000,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,6066.779900,0.000000,0.000000
cluster_hetero,heft_colocation,30,1.000000,0.000000,793.753000,661.460833,655.354000,29.953367,10.718675,0.000000,0.000000,0.000000,0.000000,26255.494333,691.743200,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,12.135283,166.751560,138.953667,139.015500,4.184712,1.497480,10.111308,10.103444,0.049589,0.017745,3948.862600,16658.670600,0.004294,0.014119
cloud_homo,prism_cc_cost,30,1.000000,12.135283,166.751560,155.661733,155.157500,5.009058,1.792468,5.302598,5.307513,0.097319,0.034825,4098.487167,16658.670600,-12.019390,47.565145
cloud_homo,heft_colocation,30,1.000000,12.135283,166.751560,138.959633,139.015500,4.183881,1.497183,10.112735,10.100269,0.050619,0.018114,3947.266700,4178.359733,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,11.122874,206.923720,172.427100,172.639000,5.565099,1.991445,9.266055,9.268138,0.081586,0.029195,5322.694100,17198.128200,0.005413,0.032436
cloud_hetero,prism_cc_cost,30,1.000000,11.122874,206.923720,193.944700,192.977000,5.546700,1.984861,5.045765,5.018258,0.251189,0.089887,5441.785500,17198.128200,-12.473157,45.563366
cloud_hetero,heft_colocation,30,1.000000,11.122874,206.923720,172.436433,172.647500,5.564823,1.991346,9.269062,9.268804,0.081030,0.028996,5321.910633,4219.350367,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,6.728573,245.657720,204.691200,204.555500,7.457225,2.668534,5.596828,5.609236,0.059392,0.021253,7090.340533,17211.687100,0.011512,0.183985
hybrid_homo,prism_cc_cost,30,1.000000,6.728573,245.657720,233.412300,235.175000,8.504625,3.043341,4.860613,5.132014,0.574693,0.205651,7208.018333,17211.687100,-14.018302,13.313926
hybrid_homo,heft_colocation,30,1.000000,6.728573,245.657720,204.714767,204.581500,7.450471,2.666117,5.607144,5.622996,0.056717,0.020296,7089.462900,3699.766567,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,4.357210,298.192240,248.487367,247.980500,9.730931,3.482169,3.628109,3.632587,0.073347,0.026247,9223.083833,15186.118000,0.002482,0.079844
hybrid_hetero,prism_cc_cost,30,1.000000,4.357210,298.192240,277.618533,279.732000,16.634282,5.952501,3.310133,3.464608,0.466291,0.166860,9317.708067,15186.118000,-11.720627,8.837065
hybrid_hetero,heft_colocation,30,1.000000,4.357210,298.192240,248.493533,247.980500,9.731023,3.482202,3.631008,3.632587,0.073826,0.026418,9222.806200,3420.542867,0.000000,0.000000
hybrid_raspberry_500mbps,prism_cc_time,30,1.000000,35.326126,573.390560,477.431000,477.314500,16.060431,5.747151,29.206198,29.200280,0.276404,0.098910,13835.259567,48494.937633,0.082555,0.788902
hybrid_raspberry_500mbps,prism_cc_cost,30,1.000000,35.326126,573.390560,519.736300,526.615500,37.643765,13.470648,21.018246,15.679577,7.560427,2.705464,13468.638400,48494.937633,-8.771159,28.602714
hybrid_raspberry_500mbps,heft_colocation,30,1.000000,35.326126,573.390560,477.825467,478.022000,15.964158,5.712701,29.438439,29.453647,0.290323,0.103891,13834.396033,4472.745333,0.000000,0.000000
