scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
cloud_hetero,heft_classic,1,132.989,132.989,0,0.0,8.459216,8.459216,0,0.0,1.0,0.050017,0.048126789062849396,4.0,0.363,9901.0,5.629652605459057e-05,0.0,,
cloud_hetero,prism_cc_cost,1,139.931,139.931,0,0.0,6.649233,6.649233,0,0.0,1.0,0.04822775,0.044543515854583146,4.0,0.329,9566.0,5.102357320099256e-05,0.0,-5.2199805998992455,21.396580959748515
cloud_hetero,prism_cc_time,1,132.989,132.989,0,0.0,8.459216,8.459216,0,0.0,1.0,0.050017,0.048126789062849396,4.0,0.363,9901.0,5.629652605459057e-05,0.0,0.0,0.0
cloud_homo,heft_classic,1,118.248,118.248,0,0.0,9.461985,9.461985,0,0.0,1.0,0.055316500000000005,0.01571325404714122,4.0,0.284,7278.0,4.4044665012406945e-05,0.0,,
cloud_homo,prism_cc_cost,1,123.624,123.624,0,0.0,6.118347,6.118347,0,0.0,1.0,0.052911,0.014799622883708894,4.0,0.284,7630.0,4.4044665012406945e-05,0.0,-4.546377105743852,35.33759565249787
cloud_homo,prism_cc_time,1,118.248,118.248,0,0.0,9.461985,9.461985,0,0.0,1.0,0.055316500000000005,0.01571325404714122,4.0,0.284,7278.0,4.4044665012406945e-05,0.0,0.0,0.0
cluster_hetero,heft_classic,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,,
cluster_hetero,prism_cc_cost,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,0.0,0.0
cluster_hetero,prism_cc_time,1,438.461,438.461,0,0.0,0.0,0.0,0,0.0,1.0,0.38809574999999996,0.14371612152325675,4.0,1.032,5697.0,0.00016004962779156328,0.0,0.0,0.0
cluster_homo,heft_classic,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,,
cluster_homo,prism_cc_cost,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,0.0,0.0
cluster_homo,prism_cc_time,1,490.855,490.855,0,0.0,0.0,0.0,0,0.0,1.0,0.39373400000000003,0.029161085396466318,4.0,0.676,6072.0,0.00010483870967741936,0.0,0.0,0.0
hybrid_hetero,heft_classic,1,156.648,156.648,0,0.0,3.124143,3.124143,0,0.0,1.0,0.04519475,0.06961633093023145,4.0,0.562,10824.0,8.715880893300249e-05,0.0,,
hybrid_hetero,prism_cc_cost,1,187.107,187.107,0,0.0,0.40292,0.40292,0,0.0,1.0,0.0375455,0.0588555300269227,3.0,0.569,10173.0,8.824441687344912e-05,0.0,-19.444231653133144,87.10302313306401
hybrid_hetero,prism_cc_time,1,156.648,156.648,0,0.0,3.124143,3.124143,0,0.0,1.0,0.04519475,0.06961633093023145,4.0,0.562,10824.0,8.715880893300249e-05,0.0,0.0,0.0
hybrid_homo,heft_classic,1,142.673,142.673,0,0.0,5.223927,5.223927,0,0.0,1.0,0.047460249999999995,0.044397088684816934,4.0,0.365,9671.0,5.660669975186104e-05,0.0,,
hybrid_homo,prism_cc_cost,1,161.165,161.165,0,0.0,3.471393,3.471393,0,0.0,1.0,0.05933475,0.021069361041272702,4.0,0.379,9212.0,5.877791563275434e-05,0.0,-12.961106866751235,33.548209996043205
hybrid_homo,prism_cc_time,1,142.673,142.673,0,0.0,5.223927,5.223927,0,0.0,1.0,0.047460249999999995,0.044397088684816934,4.0,0.365,9671.0,5.660669975186104e-05,0.0,0.0,0.0
hybrid_raspberry_500mbps,heft_classic,1,327.482,327.482,0,0.0,28.485179,28.485179,0,0.0,1.0,0.14615771428571428,0.11050472521081786,14.0,0.842,4555.0,0.00013058312655086848,0.0,,
hybrid_raspberry_500mbps,prism_cc_cost,1,332.107,332.107,0,0.0,27.689905,27.689905,0,0.0,1.0,0.14490164285714285,0.10902007106859277,14.0,0.839,4448.0,0.00013011786600496277,0.0,-1.4122913625787066,2.7918869669030313
hybrid_raspberry_500mbps,prism_cc_time,1,327.482,327.482,0,0.0,28.485179,28.485179,0,0.0,1.0,0.14615771428571428,0.11050472521081786,14.0,0.842,4555.0,0.00013058312655086848,0.0,0.0,0.0
