scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
cluster_homo,prism_cc_time,makespan,490.855,490.855,0.0,Empate
cluster_homo,prism_cc_cost,makespan,490.855,490.855,0.0,Empate
cluster_hetero,prism_cc_time,makespan,438.461,438.461,0.0,Empate
cluster_hetero,prism_cc_cost,makespan,438.461,438.461,0.0,Empate
cloud_homo,prism_cc_time,makespan,118.248,118.248,0.0,Empate
cloud_homo,prism_cc_cost,makespan,123.624,118.248,-4.546377105743852,HEFT
cloud_hetero,prism_cc_time,makespan,132.989,132.989,0.0,Empate
cloud_hetero,prism_cc_cost,makespan,139.931,132.989,-5.2199805998992455,HEFT
hybrid_homo,prism_cc_time,makespan,142.673,142.673,0.0,Empate
hybrid_homo,prism_cc_cost,makespan,161.165,142.673,-12.961106866751235,HEFT
hybrid_hetero,prism_cc_time,makespan,156.648,156.648,0.0,Empate
hybrid_hetero,prism_cc_cost,makespan,187.107,156.648,-19.444231653133144,HEFT
hybrid_raspberry_500mbps,prism_cc_time,makespan,327.482,327.482,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,makespan,332.107,327.482,-1.4122913625787066,HEFT
cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
cloud_homo,prism_cc_time,budget_used,9.461985,9.461985,0.0,Empate
cloud_homo,prism_cc_cost,budget_used,6.118347,9.461985,35.33759565249787,PRISM-CC
cloud_hetero,prism_cc_time,budget_used,8.459216,8.459216,0.0,Empate
cloud_hetero,prism_cc_cost,budget_used,6.649233,8.459216,21.396580959748515,PRISM-CC
hybrid_homo,prism_cc_time,budget_used,5.223927,5.223927,0.0,Empate
hybrid_homo,prism_cc_cost,budget_used,3.471393,5.223927,33.548209996043205,PRISM-CC
hybrid_hetero,prism_cc_time,budget_used,3.124143,3.124143,0.0,Empate
hybrid_hetero,prism_cc_cost,budget_used,0.40292,3.124143,87.10302313306401,PRISM-CC
hybrid_raspberry_500mbps,prism_cc_time,budget_used,28.485179,28.485179,0.0,Empate
hybrid_raspberry_500mbps,prism_cc_cost,budget_used,27.689905,28.485179,2.7918869669030313,PRISM-CC
