scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,0.000000,0.000000,273.559150,287.957000,287.957000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.220033,152.402033,0.000000,0.000000
cluster_homo,prism_cc_cost,30,0.000000,0.000000,273.559150,287.957000,287.957000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.220033,152.402033,0.000000,0.000000
cluster_homo,heft_colocation,30,0.000000,0.000000,273.559150,287.957000,287.957000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.220033,0.969133,0.000000,0.000000
cluster_hetero,prism_cc_time,30,0.000000,0.000000,280.059620,294.799600,287.957000,9.998384,3.577876,0.000000,0.000000,0.000000,0.000000,72.270467,169.881000,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,0.000000,0.000000,280.059620,294.799600,287.957000,9.998384,3.577876,0.000000,0.000000,0.000000,0.000000,72.270467,169.881000,0.000000,0.000000
cluster_hetero,heft_colocation,30,0.000000,0.000000,280.059620,294.799600,287.957000,9.998384,3.577876,0.000000,0.000000,0.000000,0.000000,72.270467,1.169700,0.000000,0.000000
cloud_homo,prism_cc_time,30,0.333333,1.059152,94.650875,96.579533,96.880500,2.847557,1.018985,0.527727,0.472733,0.308394,0.110357,26.833233,318.299567,3.064228,40.209417
cloud_homo,prism_cc_cost,30,0.333333,1.059152,94.650875,97.336500,99.696000,3.216776,1.151109,0.658069,0.871433,0.328165,0.117432,17.121367,318.299567,2.304469,25.441901
cloud_homo,heft_colocation,30,0.000000,1.059152,94.650875,99.632500,99.816000,0.557546,0.199515,0.882626,0.883876,0.025621,0.009168,6.073367,3.201900,0.000000,0.000000
cloud_hetero,prism_cc_time,30,0.000000,0.641828,93.506252,98.214800,96.926000,3.889148,1.391714,0.434262,0.526262,0.165367,0.059176,30.769600,281.815067,0.216233,18.807887
cloud_hetero,prism_cc_cost,30,0.000000,0.641828,93.506252,98.427633,96.926000,3.688694,1.319982,0.534857,0.526262,0.030121,0.010778,23.127867,281.815067,0.000000,0.000000
cloud_hetero,heft_colocation,30,0.000000,0.641828,93.506252,98.427633,96.926000,3.688694,1.319982,0.534857,0.526262,0.030121,0.010778,23.127867,2.173133,0.000000,0.000000
hybrid_homo,prism_cc_time,30,0.000000,0.607531,93.506252,98.403933,96.926000,3.712678,1.328565,0.496606,0.499634,0.061478,0.022000,23.491800,301.894367,0.024079,1.909981
hybrid_homo,prism_cc_cost,30,0.000000,0.607531,93.506252,98.427633,96.926000,3.688694,1.319982,0.506276,0.499634,0.027771,0.009938,23.095967,301.894367,0.000000,0.000000
hybrid_homo,heft_colocation,30,0.000000,0.607531,93.506252,98.427633,96.926000,3.688694,1.319982,0.506276,0.499634,0.027771,0.009938,23.095967,1.996300,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,0.333333,0.348827,94.295385,99.258300,96.698000,6.360733,2.276159,0.290689,0.295769,0.060509,0.021653,49.283333,244.260933,0.000000,0.000000
hybrid_hetero,prism_cc_cost,30,0.333333,0.348827,94.295385,99.262033,96.698000,6.356883,2.274781,0.290215,0.294599,0.060523,0.021658,49.286733,244.260933,-0.003761,0.162992
hybrid_hetero,heft_colocation,30,0.333333,0.348827,94.295385,99.258300,96.698000,6.360733,2.276159,0.290689,0.295769,0.060509,0.021653,49.283333,1.715367,0.000000,0.000000
hybrid_raspberry_500mbps,prism_cc_time,30,0.333333,0.533583,141.946087,149.249200,144.791000,13.152112,4.706423,0.441833,0.437888,0.101387,0.036281,66.908767,503.004967,0.112259,0.634024
hybrid_raspberry_500mbps,prism_cc_cost,30,0.333333,0.533583,141.946087,149.435600,144.791000,13.192559,4.720897,0.437547,0.437888,0.116996,0.041867,68.072000,503.004967,-0.012493,1.597923
hybrid_raspberry_500mbps,heft_colocation,30,0.333333,0.533583,141.946087,149.416933,144.791000,13.212687,4.728099,0.444652,0.437888,0.102688,0.036747,66.881333,2.522367,0.000000,0.000000
