scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,350.654,350.654,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,350.654,350.654,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,270.099,270.099,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,270.099,270.099,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,180.091,180.091,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,180.091,180.091,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,204.427,206.398,0.9549511138673842,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,204.427,206.398,0.9549511138673842,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,makespan,241.389,241.389,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,261.178,241.389,-8.197970910024893,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,1117.859,1117.859,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,1117.859,1117.859,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,283.53954,283.53954,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,283.53954,283.53954,0.0,Empate
network_hpc_cloud,prism_cc_time,budget_used,213.414539,213.414539,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,213.414539,213.414539,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,227.135348,233.688979,2.8044245081835872,PRISM-CC
network_edge_cloud,prism_cc_cost,budget_used,227.135348,233.688979,2.8044245081835872,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,208.074729,208.074729,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,9.45831,208.074729,95.45436870423606,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
