scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,421.399000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,421.399000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.757000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.757000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.028050,45.900000,38.250000,38.250000,0.000000,0.000000,0.023375,0.023375,0.000000,0.000000,0.001000,268.990000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.028050,45.900000,43.500000,43.500000,0.000000,0.000000,0.019334,0.019334,0.000000,0.000000,0.000000,268.990000,-13.725490,17.287701
network_cloud_multiregion,heft_colocation,1,1.000000,0.028050,45.900000,38.250000,38.250000,0.000000,0.000000,0.023375,0.023375,0.000000,0.000000,0.001000,0.135000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,348.905000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,348.905000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.162000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,272.414000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,272.414000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,0.197000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,619.791000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,619.791000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.307000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,301.433000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,301.433000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.188000,0.000000,0.000000
