scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,159.667,159.667,0,0.0,0.097575,0.097575,0,0.0
network_cloud_multiregion,prism_cc_cost,1,189.2,189.2,0,0.0,0.084088,0.084088,0,0.0
network_cloud_multiregion,prism_cc_time,1,159.667,159.667,0,0.0,0.097575,0.097575,0,0.0
network_edge_cloud,heft_classic,1,122.753,122.753,0,0.0,0.153438,0.153438,0,0.0
network_edge_cloud,prism_cc_cost,1,122.753,122.753,0,0.0,0.153438,0.153438,0,0.0
network_edge_cloud,prism_cc_time,1,122.753,122.753,0,0.0,0.153438,0.153438,0,0.0
network_fog_hpc_cloud,heft_classic,1,187.903,187.903,0,0.0,3.517412,3.517412,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,147.667,147.667,0,0.0,0.0,0.0,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,147.667,147.667,0,0.0,0.0,0.0,0,0.0
network_hpc_cloud,heft_classic,1,187.903,187.903,0,0.0,3.517412,3.517412,0,0.0
network_hpc_cloud,prism_cc_cost,1,147.667,147.667,0,0.0,0.0,0.0,0,0.0
network_hpc_cloud,prism_cc_time,1,147.667,147.667,0,0.0,0.0,0.0,0,0.0
network_hpc_local,heft_classic,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,221.5,221.5,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,749.692,749.692,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,749.692,749.692,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,749.692,749.692,0,0.0,0.0,0.0,0,0.0
