scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,280.405,280.405,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,280.405,280.405,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,448.452,1101.176,59.2751749039209,PRISM-CC
network_hpc_multisite,prism_cc_cost,makespan,448.452,1101.176,59.2751749039209,PRISM-CC
network_cloud_multiregion,prism_cc_time,makespan,572.145,572.145,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,624.317,572.145,-9.118667470658666,HEFT
network_hpc_cloud,prism_cc_time,makespan,316.234,1152.23,72.55461149249716,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,316.234,1152.23,72.55461149249716,PRISM-CC
network_edge_cloud,prism_cc_time,makespan,221.308,362.457,38.942274531875505,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,221.308,362.457,38.942274531875505,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,makespan,459.731,1127.95,59.24189902034665,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,549.007,1127.95,51.327009175938656,PRISM-CC
network_wfcommons_overlay,prism_cc_time,makespan,1250.557,1919.971,34.86583911944503,PRISM-CC
network_wfcommons_overlay,prism_cc_cost,makespan,1250.557,1919.971,34.86583911944503,PRISM-CC
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,2952.462689,2952.462689,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,805.606759,2952.462689,72.7140748636231,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.0,2021.459067,100.0,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.0,2021.459067,100.0,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,106.313468,1890.303244,94.3758511584081,PRISM-CC
network_edge_cloud,prism_cc_cost,budget_used,106.313468,1890.303244,94.3758511584081,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,1197.706786,1670.960624,28.32226153044287,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.0,1670.960624,100.0,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
